Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SILVERBEES,EQ,267.44,8.13,37472.4,1728.02,4554.02
HDFCBANK,EQ,949,0.03,1460329.27,243.67,2321.93
GOLDBEES,EQ,129.8,3.67,56527.85,1592.21,2070.03
ETERNAL,EQ,293.5,4.9,283237.79,648.95,1883.96
DIXON,EQ,11680,5.88,70880.95,15.09,1738.34
BSE,EQ,2895,1.2,118082.44,57.7,1657.93
ICICIBANK,EQ,1406.1,1.18,1005798.88,110.81,1558.87
TATSILV,EQ,27.45,9.02,5728.13,5702.67,1528.89
BHARTIARTL,EQ,2022.8,1.28,1153421.86,74.65,1510.02
AVANTIFEED,EQ,1077.15,12.23,14675.7,125.94,1347.59
RELIANCE,EQ,1455.4,1.27,1969516.07,83.33,1212.79
ADANIPOWER,EQ,154.3,7.44,297562.84,784.29,1195.65
SILVERIETF,EQ,277.99,8.46,18671.74,436.04,1191.29
GOKEX,EQ,832.85,20,6099.78,142.22,1148.77
KAYNES,EQ,3780.9,6.5,25345.13,27.78,1033.17
ADANIPORTS,EQ,1565.2,2.25,360615.68,66.33,1026.34
MCX,EQ,2547.3,4.65,64954.07,40.65,1022.91
BLS,EQ,289,12.3,11899.31,339.21,968.13
PFC,EQ,413.8,5.4,136558.21,225.38,919.16
VEDL,EQ,688.3,1.87,269152.01,133.19,916.9
M&M,EQ,3574.9,1.33,444549.12,23.95,858.35
GVT&D,EQ,3500,1.26,89616.29,23.64,851.74
OIL,EQ,506,3.5,82306.35,158.16,810.29
POWERGRID,EQ,289.5,2.22,269252.48,277.75,802.64
HDFCAMC,EQ,2725,2.01,116673.05,29.32,797.15
SBIN,EQ,1067.3,0.29,985183.81,73.12,781.17
TRENT,EQ,4021,5.18,142941.51,19.26,765.4
RPOWER,EQ,28.99,2.91,11989.6,2549.49,762.81
ONGC,EQ,266,3.5,334635.43,266.28,711
MARUTI,EQ,15009,1.54,471886.82,4.51,678.99
LLOYDSME,EQ,1286,10.04,68040.99,52.36,678.07
HINDZINC,EQ,639.8,1.84,270335.91,105.86,676.26
SUNPHARMA,EQ,1703,0.05,408597.12,39.53,675.46
NMDC,EQ,85.69,4.95,75337.08,737.89,625.81
RECLTD,EQ,381.05,2.3,100339,162.12,614.73
LT,EQ,4080.2,1.03,561264.51,14.03,573.09
HDFCSILVER,EQ,268.52,8.12,8860.66,216.27,571.37
NTPC,EQ,366.8,2.3,355673.71,155.15,567.21
IDBI,EQ,109.11,6.71,117319.46,515.71,559.49
KITEX,EQ,213,8.41,4249.35,250.51,554.04
BEL,EQ,439,0.01,320899.29,124,544.57
INDIGO,EQ,4956,0.2,191594.55,10.26,507.84
