Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
DIXON,EQ,10435,0.95,63325.57,19.97,2102.57
AXISBANK,EQ,1366.9,0.23,424472.71,147.58,2022.89
IDEA,EQ,11.13,10.75,120585.8,17305.15,1900.11
M&M,EQ,3444.3,1.77,428308.64,52.91,1796.09
BEL,EQ,449.25,1.07,328391.81,366.85,1642.71
CUPID,EQ,400,2.51,10738.69,386.35,1632
RELIANCE,EQ,1397,0.43,1890486.43,112.4,1563.73
BHARTIARTL,EQ,1968.8,0.05,1122630.5,76.84,1508.01
GRSE,EQ,2761,6.81,31627.81,52.14,1419.06
MARUTI,EQ,14580,0.54,458398.95,9.47,1372.11
ITC,EQ,322.3,1.16,403899.02,419.76,1350.87
GROWW,EQ,177,2.15,109272.66,649.88,1158.68
MTARTECH,EQ,2924.7,6.66,8996.26,35.31,1038.28
SBIN,EQ,1077,1.01,994137.51,94.81,1019.04
AUROPHARMA,EQ,1198.9,4.2,69632.31,81.27,975.41
SYRMA,EQ,755,4.27,14558.7,121.32,932.99
LT,EQ,3935,0.05,541291.07,22.08,866.46
HAL,EQ,4623,0.48,309174.68,15.82,728.19
NESTLEIND,EQ,1332.5,3.46,256947.88,52.92,700.2
SUNPHARMA,EQ,1595,0.36,382684.91,39.62,632.34
BHARATCOAL,EQ,39.79,4.66,18530.2,1562.53,630.32
KAYNES,EQ,3473,2.08,23281.14,16.91,587.26
TITAN,EQ,3982.1,1.08,353525.33,14.28,566.21
MAZDOCK,EQ,2573.9,2.25,103825.98,22.01,562.26
WALCHANNAG,EQ,187.8,9.15,1274.07,284.3,550.46
MAXHEALTH,EQ,957.2,0.48,93135.7,56.38,538.36
INDUSTOWER,EQ,442.6,0.24,116765.08,118.97,529.46
ASIANPAINT,EQ,2431,0.62,233180.98,20.49,497.26
HINDUNILVR,EQ,2365,0.53,555678.33,20.9,495.23
SIGNATURE,EQ,900,7.54,12645.96,54.21,493.35
RVNL,EQ,344,0.75,71724.69,140.49,476.29
SHARDACROP,EQ,1020,3.6,9202.49,46.27,472.86
BRITANNIA,EQ,5851,2.24,140932.04,8.06,470.83
STAR,EQ,876.1,8.19,8075.25,51.55,446.52
SOLARINDS,EQ,13443,0.87,121645.78,3.14,419.62
SBILIFE,EQ,2009.9,0.68,201558.77,20.51,408.89
GVT&D,EQ,3229.7,2.27,82695.35,12.29,394.59
NETWEB,EQ,3145,2.51,17817.64,12.42,394.4
VTL,EQ,432.75,4.64,12516.74,87.26,391.86
BDL,EQ,1537.5,0.44,56358.98,25.25,387.85
TVSMOTOR,EQ,3680,0.68,174832.06,9.94,365.16
POLICYBZR,EQ,1648.6,0.21,76276.56,22.3,363.29
IDFCFIRSTB,EQ,83.5,0.04,71782.06,420.59,352.37
ABB,EQ,5551,1.41,117630.34,6.35,351.29
TDPOWERSYS,EQ,723,6.81,11294.33,47.89,350.45
GESHIP,EQ,1198.7,1.02,17113.5,27.92,341.65
APOLLOHOSP,EQ,6950,2.19,99930.34,4.89,339.39
NAM-INDIA,EQ,875,1.56,55745.53,36.97,331.41
COCHINSHIP,EQ,1660.6,3.13,43687.19,19.87,324.45
EICHERMOT,EQ,7129.5,1.03,195561.64,4.55,322.29
DATAPATTNS,EQ,2668,4.12,14936.52,11.92,317.29
RAYMONDLSL,EQ,1040.1,12.88,6336.67,29.72,309.08
AMBER,EQ,5731,3.32,20157.1,5.38,308.89
MARICO,EQ,730,0.01,94760.4,41.96,305.33
