Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GROWW,EQ,212.47,8.34,133295.11,2888.25,6044.82
HDFCBANK,EQ,812,2.08,1249941.51,491.36,3974.89
ICICIBANK,EQ,1385.6,2.17,992692.59,233.12,3223.23
PNBHOUSING,EQ,979,7.97,25507.8,199.55,1966.55
BHARTIARTL,EQ,1858.7,0.68,1132528.35,104.85,1949.61
SBIN,EQ,1111.7,0.35,1026167.76,169.64,1884.87
LEMONTREE,EQ,122.14,7.96,9676.5,1175.45,1452.62
ROLEXRINGS,EQ,163.1,16.93,4441.75,878.14,1396.68
INFY,EQ,1314.5,0.14,533111.69,100.57,1320.85
NESTLEIND,EQ,1394.9,8.43,268980.56,95.87,1294.56
MAHABANK,EQ,80.2,6.17,61686.16,1529.39,1216.78
ADANIPOWER,EQ,203.8,1.48,393022.08,579.74,1183.24
TRENT,EQ,4405.1,3.83,156595.78,24.38,1066.32
LT,EQ,4070,0.47,559882.3,24.27,989.04
BSE,EQ,3513,1.22,143289.68,26.7,934.61
DATAPATTNS,EQ,3530,1.8,19762.34,25.42,920.05
ZENTEC,EQ,1745,6.15,15755.67,51.6,909.8
NETWEB,EQ,3915,3.58,22292.28,23.09,903.35
ETERNAL,EQ,259.27,1.72,250204.64,290.53,749.8
ITC,EQ,310.15,1.69,388680.51,244.12,749.35
HINDUNILVR,EQ,2320.1,3.97,545128.67,32.17,735.81
AXISBANK,EQ,1375.5,1.54,427565.9,51.45,706.79
TCS,EQ,2609.9,1.17,944284.66,27.2,706.22
ONESOURCE,EQ,1564.8,1.01,17935.93,45.31,697.46
ADANIPORTS,EQ,1598,1.24,368172.66,42.77,682.13
BHEL,EQ,332,1.96,115604.5,202.92,669.56
FIVESTAR,EQ,505,7.34,14875.59,130.78,666.78
M&M,EQ,3247.8,0.81,403873.29,19.72,640.34
BAJFINANCE,EQ,938.75,2.29,584429.54,67.14,628.06
SUZLON,EQ,53.02,0.99,72718.47,1147.13,607.18
MAZDOCK,EQ,2660.8,1.51,107331.35,21.56,576.09
PERSISTENT,EQ,5369,0.82,84695.98,10.11,537.73
POWERINDIA,EQ,29945,1.01,133471.94,1.7,512.34
GRSE,EQ,2714,1.73,31089.41,17.45,476.57
SAIL,EQ,174.9,1.27,72242.89,270.69,476.55
KOTAKBANK,EQ,382.35,0.83,380303.09,123.23,470.14
NELCO,EQ,713.25,5.89,1627.52,61.76,458.47
DIXON,EQ,11271,0.54,68529.81,4.03,457.11
HCLTECH,EQ,1439,0.75,390496.41,30.91,445.35
HDFCAMC,EQ,2790,0.79,119523.65,15.94,443.71
WIPRO,EQ,204.98,1.23,214993.58,215.31,440.48
MUTHOOTMF,EQ,195.6,13.61,3334.83,226.45,439.06
ASIANPAINT,EQ,2545,1.12,244115.84,16.82,429.27
AUBANK,EQ,1038,4.04,77670.13,41.53,429.03
SILVERBEES,EQ,237.59,0.13,32317,180.35,427.89
ANGELONE,EQ,323.99,1.51,29510.93,130.65,422.65
MOTHERSON,EQ,124.8,1.31,131714.09,336.74,420.32
KAYNES,EQ,4250,0.65,28489.73,9.86,419.64
ADANIENT,EQ,2230,0.02,288092.19,18.18,406.36
ATHERENERG,EQ,894.2,0.53,34218.63,45.08,403.16
INDIGO,EQ,4686.1,0.17,181190.87,8.51,400.38
MARUTI,EQ,13455,0.04,423028.66,2.93,395.22
TATAPOWER,EQ,435.25,0.38,139077.15,90.15,392.83
HFCL,EQ,97.1,4.07,14862.15,403.45,389.05
ULTRACEMCO,EQ,12025,0.91,354351.7,3.2,382.82
VBL,EQ,486.35,4.24,164488.16,79.32,382.28
IDEA,EQ,9.56,0.95,103575.94,3886.24,372.69
CUPID,EQ,110,4.34,14791.27,341.36,372.35
MEESHO,EQ,172,5.79,78501.75,208.36,354.17
GRAPHITE,EQ,735,3.27,14360.11,47.46,349.48
TMCV,EQ,442.9,1.03,163090.46,76.81,340.32
HSCL,EQ,506.1,3.5,25534.85,65.47,329.3
INDUSTOWER,EQ,414.9,2.24,109457.37,78.84,327.53
SYRMA,EQ,987,2.45,19032.37,32.2,322.92
RECLTD,EQ,382.95,0.07,100839.31,83.74,320.89
ADANIGREEN,EQ,1155.05,0.2,189589.2,27.53,319.32
BPCL,EQ,317.95,0.6,137940.47,99.35,315.86
UNITDSPR,EQ,1364,4.31,99210.66,23.34,314.22
ENRIN,EQ,3176,1.2,113103.87,9.64,310.79
HEG,EQ,659,4.72,12717.22,47.16,309.3
LICHSGFIN,EQ,564.8,5.24,31067.56,55.2,308.75
HINDALCO,EQ,1021.3,0.6,229509.24,30.02,306.24
CGPOWER,EQ,808,1.55,127253.64,36.45,295.2
ELECON,EQ,472.9,8.58,10611.87,63.13,295.1
HDFCLIFE,EQ,614.5,0.78,132598.01,48.01,293.18
HINDPETRO,EQ,383.95,1.17,81697.75,74.74,286.59
SCI,EQ,300.21,0.08,13983.75,95.8,286.39
GODREJPROP,EQ,1805.6,2.61,54386.07,15.78,285.84
KARURVYSYA,EQ,291.2,5.99,28144.3,96.35,275.68
ICICIAMC,EQ,3540,7.41,174967.52,7.94,274.11
MTARTECH,EQ,5084.9,2.89,15640.94,5.35,271.49
JSWSTEEL,EQ,1283,0.67,313751.74,21.09,270.89
HAL,EQ,4353.3,0.2,291137.82,6.17,269.68
