Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
NETWEB,EQ,3612.2,2.39,20568.11,71.65,2601.38
ABB,EQ,6005,4.99,127250.98,40.35,2458.72
SILVERBEES,EQ,236.5,1.41,33258.2,715.27,1672.24
KRN,EQ,880,11.6,5469.78,183.45,1607.85
ICICIBANK,EQ,1394,0.37,997651.38,103.38,1443.2
SBIN,EQ,1216.2,0.87,1122627.71,99.58,1205.16
RELIANCE,EQ,1419.1,0.68,1920393.19,81.78,1161.22
LT,EQ,4380.1,2.33,602531.61,25.42,1108.46
FIRSTCRY,EQ,217.4,1.71,11349.19,478.11,1093.97
TATAINVEST,EQ,705.8,1.95,35710,150.07,1085.02
DATAPATTNS,EQ,2971,1.96,16632.84,29.55,907.32
ONGC,EQ,278.25,1.31,350046.27,319.72,888.69
MARUTI,EQ,15009,0.71,471886.82,5.16,773.51
BAJFINANCE,EQ,1025,0.78,637769.54,69.23,711.51
MCX,EQ,2395,1.43,61070.55,29.37,705.01
VESUVIUS,EQ,533.05,3.06,10818.83,118.13,677.68
TARIL,EQ,312.75,2.8,9387.69,203.31,642.97
NTPC,EQ,372.8,2.64,361491.71,167.37,622.22
TCS,EQ,2685,0.27,971456.5,22.93,615.66
TATASTEEL,EQ,208.21,1.36,259919.52,266.06,552.95
CANBK,EQ,153.91,3,139606.39,356.45,546.18
HINDALCO,EQ,934.75,3.21,210059.5,58.56,543.63
AXISBANK,EQ,1367.7,0.82,424900.45,37.92,518.98
POWERINDIA,EQ,23825,4.26,106193.65,2.19,517.27
GOLDBEES,EQ,127.48,0.31,56874.39,382.76,485.95
POLICYBZR,EQ,1513.5,3.28,70025.82,31.27,470.31
VEDL,EQ,682.2,0.89,266766.67,68.72,467.4
HINDCOPPER,EQ,568.9,0.93,55014,80.34,457.51
BANKBARODA,EQ,309,1.49,159795.09,147.97,455.87
CENTUM,EQ,2530,10.25,3728.25,17.37,445.8
SIEMENS,EQ,3190.1,2.67,113606,13.4,434.83
BHARATFORG,EQ,1783.1,1.42,85235.51,23.9,423.51
BEL,EQ,441,1.3,322361.25,95.34,421.51
HAL,EQ,4166,0.81,278611.66,9.61,401.9
HINDUNILVR,EQ,2318.3,1.71,544705.74,17.16,397.36
INDIGO,EQ,4850,0.72,187507.21,8.2,396.8
PNB,EQ,129.49,2.69,148822.12,302.57,390.59
COALINDIA,EQ,423,1.65,260683.41,88.43,373.87
ITC,EQ,327.2,0.37,410039.59,112.82,368.67
CUMMINSIND,EQ,4735,1.92,131254.2,7.8,368.41
FORCEMOT,EQ,24400,1.08,31800.31,1.47,352.18
POWERGRID,EQ,299,1.48,278088.05,117.62,351.4
IRCTC,EQ,644.4,3.01,51552,50.79,326.87
POLYCAB,EQ,7829,0.66,117865.14,3.94,308.3
RVNL,EQ,311.65,1.56,64979.65,98.3,304.66
HEROMOTOCO,EQ,5458,0.8,109209,5.61,304.53
TATSILV,EQ,24.01,1.22,5508.02,1282.71,304.52
ASHOKLEY,EQ,208.3,2.36,122352.39,146.24,303.62
MUTHOOTFIN,EQ,3461,1.47,138948.24,8.82,300.96
PFC,EQ,410.85,1.31,135584.68,73.22,299.33
HINDZINC,EQ,586.65,0.44,247878.34,50.62,297.93
WAAREEENER,EQ,2901,0.93,83444.63,10.14,294.29
BAJAJ-AUTO,EQ,9812,0.85,274243.28,2.91,284.25
UNIONBANK,EQ,193.75,2.23,147901.11,145.95,282.33
KOTAKBANK,EQ,420.15,0.9,417894.79,66.04,277.58
BDL,EQ,1307.9,2.61,47942.71,20.72,271.83
GRSE,EQ,2475.9,1.12,28361.93,10.68,266.58
NMDC,EQ,79.99,0.97,70325.75,318.1,253.78
BHEL,EQ,257.7,1.54,89732.77,98.55,253.15
GAIL,EQ,168.11,0.74,110534,146.68,247.11
APARINDS,EQ,10501,4.35,42180.75,2.34,245.32
SHRIRAMFIN,EQ,1059.6,0.46,199366.72,22.95,242.8
TMPV,EQ,378.3,0.69,139311.98,63.24,238.84
MFSL,EQ,1850,0.98,63846.23,12.9,237.86
GMDCLTD,EQ,567.95,1.26,18060.81,40.74,234.3
SAMMAANCAP,EQ,154,1.72,12761.47,152.27,233.74
SAIL,EQ,158.2,1.54,65344.91,143.76,227.58
RNBDENIMS,EQ,193.3,1.56,1739.19,118.04,227.54
MAXHEALTH,EQ,1086.75,0.49,105750.86,20.84,226.64
TITAN,EQ,4232,0.81,375711.1,5.32,225.61
DLF,EQ,629,1.37,155697.32,34.22,213.77
IDBI,EQ,112.7,1.68,121179.57,185.24,210.16
EICHERMOT,EQ,7920,0.29,217256.85,2.64,209.77
SILVERIETF,EQ,247,1.65,15975.95,85.09,207.56
CIPLA,EQ,1338,0.68,108081.05,15.52,207.41
SUNPHARMA,EQ,1724,0.62,413635.6,12.04,207.35
GVPIL,EQ,485.1,5.67,3261.2,42.67,206.31
HYUNDAI,EQ,2258,3.53,183471.78,9.01,204.15
CUPID,EQ,420,1.4,11295.15,47.84,201.81
NATIONALUM,EQ,340.6,0.15,62555.68,58.38,198.88
KEI,EQ,4782.6,4.68,45721.94,4.1,193.12
TIINDIA,EQ,2574.1,3.45,49813.9,7.52,192.1
TORNTPOWER,EQ,1530,2.51,77097.24,12.54,191.81
MAZDOCK,EQ,2356,0.54,95036.33,8.05,191.47
ASIANPAINT,EQ,2428,1.13,232893.22,7.9,191.35
SBILIFE,EQ,2080,1.81,208588.61,9.22,191.18
GVT&D,EQ,3655.1,3.09,93587.57,5.19,186.68
CGPOWER,EQ,711.55,2.15,112062.2,26.13,185.68
AUBANK,EQ,1028.75,1.15,76933.34,17.48,179.44
SUPREMEIND,EQ,3894,0.54,49464.26,4.56,178.43
INDIANB,EQ,946.15,2.03,127443,18.21,171.82
NIFTYBEES,EQ,289.2,0.28,58083.4,59.11,170.96
ADANIPORTS,EQ,1515.3,0.13,349118.92,11.27,170.77
ADANIPOWER,EQ,143,1.82,275771.13,119.15,169.79
LENSKART,EQ,488.75,1.84,84791.78,34.03,167.06
HDFCSILVER,EQ,236.4,1.21,7911.39,70.72,165.17
ADANIENT,EQ,2160.3,0.17,279258.18,7.38,159.68
JSWENERGY,EQ,494,2.9,86339.76,31.45,154.35
ULTRACEMCO,EQ,12748,0.47,375657.01,1.21,153.88
PAYTM,EQ,1148,0.21,73452.3,12.87,148.64
FEDERALBNK,EQ,292,1.28,71891.67,50.31,146.86
TORNTPHARM,EQ,4245,0.44,143666.01,3.42,144.63
VOLTAS,EQ,1543.4,2.03,51068.75,9.35,144.07
CDSL,EQ,1320.5,0.02,27598.45,10.73,142.05
SETFGOLD,EQ,131.46,0.34,23808.3,107.45,140.79
TRENT,EQ,4085,0.42,145216.63,3.39,138.43
LIQUIDCASE,EQ,112.84,0.04,8693.17,122.28,137.98
HDFCGOLD,EQ,131.6,0.47,22553.38,105.04,137.6
HSCL,EQ,486.5,2.81,24543.68,28.35,137.16
BANDHANBNK,EQ,170.9,0.84,27531.5,77.63,134.06
BIOCON,EQ,384,0.35,62242.86,34.83,134
EASEMYTRIP,EQ,9.28,0.65,3375,1478.47,133.06
IRFC,EQ,111.59,0.19,145831.46,115.61,129.49
AMBUJACEM,EQ,513.75,0.31,126989.93,23.77,121.98
PREMIERENE,EQ,765.25,1.65,34665.39,15.84,121.68
SRF,EQ,2690,0.42,79738.28,4.5,121.16
BANKINDIA,EQ,171,1.09,77850.62,70.74,121.12
FORTIS,EQ,916.25,1.06,69173.04,13.06,120.15
LIQUIDPLUS,EQ,1073.66,0.04,948.35,11.05,118.69
ANANTRAJ,EQ,548.95,0.59,19755.44,21,115.35
ASTRAL,EQ,1631.7,0.66,43835.65,6.79,110.94
