Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HINDCOPPER,EQ,637.9,13.48,61686.46,1083.1,6668.77
SILVERBEES,EQ,332.5,4.61,47437.63,1703.76,5679.98
HDFCBANK,EQ,932.4,0.65,1434671.33,353.47,3304.75
BEL,EQ,454.25,9.21,332046.7,719.87,3188.58
GOLDBEES,EQ,135.6,3.16,55630.12,1841.94,2491.4
ETERNAL,EQ,266.7,5.06,257374.85,825.31,2154.9
TATSILV,EQ,33.33,2.49,6890.15,6395.66,2154.7
VEDL,EQ,736.5,4.4,288000.08,266.45,1947.06
ONGC,EQ,268.23,8.18,337440.83,734.28,1939.97
MCX,EQ,2602,7.61,66348.88,73.09,1877.29
ICICIBANK,EQ,1368.3,0.51,978655.41,132.43,1813.91
RELIANCE,EQ,1398.5,1.3,1892516.3,111.22,1553.53
OIL,EQ,492.8,9.87,80159.23,293.65,1427.37
M&M,EQ,3450.3,1.67,429054.75,39.65,1356.93
SBIN,EQ,1062.65,0.9,980891.58,121.71,1287.73
HINDALCO,EQ,1003,4.28,225396.82,126.16,1253.7
TEJASNET,EQ,338.25,14.22,6005.38,333.15,1101.13
BSE,EQ,2820,2.13,115023.31,34.1,958.86
ITC,EQ,321.4,0.86,402771.16,284,911.9
NATIONALUM,EQ,407.7,6.01,74879.48,221.17,883.39
SILVERIETF,EQ,348.44,4.66,23575.08,252.88,881.24
TCS,EQ,3199,1.3,1157426.2,27.51,877.97
HAL,EQ,4633,6.54,309843.46,18.38,832.97
LT,EQ,3796.9,0.24,522294.3,21.12,801.99
TVSMOTOR,EQ,3735.1,4.68,177449.79,21.52,784
COALINDIA,EQ,445.2,5.27,274364.67,174.97,767.55
DATAPATTNS,EQ,2608,13.52,14600.62,29.56,748.96
HDFCSILVER,EQ,337,4.45,11124.41,205.42,690.62
CGPOWER,EQ,581.95,9.67,91650,121.73,689.1
DIXON,EQ,10274,0.88,62348.53,6.61,674.87
TATASTEEL,EQ,193.85,0.82,241993.17,333.11,645.53
IDEA,EQ,10.06,2.34,108993.09,6452.64,641.39
MRPL,EQ,163.51,4.58,28656.74,372.22,616.92
KOTAKBANK,EQ,411.4,0.66,409157.58,148.24,608.91
GRSE,EQ,2510,5.13,28752.55,24.18,598.6
TMCV,EQ,465.65,4.9,171467.76,126.36,581.13
ULTRACEMCO,EQ,12775,1.48,376452.64,4.57,580.97
SHRIRAMFIN,EQ,1017,1.59,191347.37,55.87,565.25
BAJFINANCE,EQ,936,2.33,582392.48,60.46,561.64
MOTILALOFS,EQ,787.2,7.53,47321.05,70.94,561.6
MAZDOCK,EQ,2510.5,7.51,101268.55,22.05,540.84
PFC,EQ,383.95,6.17,126707.41,129.06,485.37
NTPC,EQ,348.9,1.22,338316.68,135.67,473.22
GROWW,EQ,172.6,2.18,106556.28,273.75,467.82
HCLTECH,EQ,1722.8,0.15,467510.22,27.14,466.51
KAYNES,EQ,3486.6,4.61,23372.3,13.52,464.09
BPCL,EQ,363.4,1.68,157658.65,124.28,450.28
TECHM,EQ,1760,0.85,172434.78,25.35,444.63
JSWENERGY,EQ,446.3,1.42,78002.91,98.81,439.5
CANBK,EQ,157.8,1.99,143134.88,281.99,437.39
TATAGOLD,EQ,15.94,3.44,5171.14,2741.4,433.96
PAYTM,EQ,1178.9,2.98,75417.55,36.4,425.1
RVNL,EQ,344.15,6.25,71755.97,124.11,416.22
POWERGRID,EQ,259.6,2.06,241443.68,160.46,414.7
UNIONBANK,EQ,182.2,3.99,139084.29,230.47,412.48
DLF,EQ,626.4,2.76,155053.73,66.78,412.23
ADANIENT,EQ,1995,1.81,257890.14,20.73,411.17
SWIGGY,EQ,324.6,3.96,89599.78,128.88,409.03
ADANIPORTS,EQ,1379.6,1.15,317854.2,29.38,404.64
SOLARINDS,EQ,13969,9.42,126405.56,2.94,400.09
TIINDIA,EQ,2298,4.97,44468.52,17.87,395.97
SILVER,EQ,349.9,5.06,4970.13,112.38,393.32
BDL,EQ,1574.9,7.18,57729.93,25.38,389.72
GOLDIETF,EQ,141.55,3.84,24760.48,276.49,388.55
SETFGOLD,EQ,140.2,3.52,24493.12,278.06,388.48
ASHOKLEY,EQ,195.95,1.53,115098.18,200.45,386.44
MAHLOG,EQ,338.95,14.74,3363.15,112.67,380.42
ADANIGREEN,EQ,821.2,2.77,134791.26,43.77,354.33
NETWEB,EQ,3134.9,3.33,17760.42,10.99,345.66
SAMMAANCAP,EQ,141.75,2.15,11746.31,226.84,321.93
TMPV,EQ,341.1,0.16,125612.78,94.25,321.15
HDFCGOLD,EQ,140.14,3.26,23298.87,229.24,320.05
HDFCAMC,EQ,2477.3,1.66,106067.58,13,319.49
SBISILVER,EQ,344,5.14,8968.12,91.61,313.36
WAAREEENER,EQ,2749,2,79072.48,11.38,311.93
BAJAJFINSV,EQ,1942,1.27,310295.33,16.06,310.28
BANKBARODA,EQ,306,1.32,158243.68,101.61,308.96
JINDALSTEL,EQ,1122,3.82,114453.88,27.83,308.2
GODREJPROP,EQ,1551.1,2.19,46720.12,19.58,300.35
HEROMOTOCO,EQ,5510,2.42,110244.97,5.47,296.3
COCHINSHIP,EQ,1631,7.08,42908.48,18.45,293.05
PATANJALI,EQ,506,0.58,55044.11,58.01,290.04
SBILIFE,EQ,2053,0.73,205880.97,13.91,286.03
SUZLON,EQ,47.99,4.8,65807.9,599.94,283.23
RECLTD,EQ,377.5,3.72,99404.21,75.09,279.79
IGIL,EQ,320.1,10,13833.43,88.09,279.32
IRFC,EQ,120.8,5.4,157867.55,234.52,277
APOLLOHOSP,EQ,6872.5,1.16,98816.01,3.99,273.92
INDUSINDBK,EQ,901,0.7,70194.75,29.83,266.23
POLICYBZR,EQ,1650.1,1.25,76345.96,15.96,260.96
NMDC,EQ,81.6,3.5,71741.23,322.46,260.48
GMDCLTD,EQ,559,5.64,17776.2,46.86,258.81
LIQUIDCASE,EQ,112.51,0.03,8238.53,228.9,257.49
IOC,EQ,162.9,2.52,230034.97,157.96,256.19
BANKINDIA,EQ,167.4,2.59,76211.66,151.22,250.77
TRENT,EQ,3862.5,1.78,137307.03,6.47,248.31
TATAPOWER,EQ,355.9,2.34,113722.13,68.93,243.19
POLYCAB,EQ,6870,1.54,103425.87,3.51,241.48
WIPRO,EQ,237.95,1.34,249542.89,101.55,240.44
INDHOTEL,EQ,656,0.71,93377.15,36.79,240.35
KARURVYSYA,EQ,293.95,0.48,28409.4,81.52,237.88
IIFL,EQ,544,4.24,23132.4,43.02,234.34
ENRIN,EQ,2356.1,7.88,83905.55,10.01,231.67
SILVERCASE,EQ,35.72,5.4,1652.56,645.15,229.54
POWERINDIA,EQ,17685,5.84,78826.22,1.31,228.74
CDSL,EQ,1357.8,2.7,28378.02,16.96,227.87
HINDPETRO,EQ,433,3.26,92134.71,52.69,227.08
ACUTAAS,EQ,1890,9.38,15473.64,12.39,226.01
COFORGE,EQ,1690.1,1.55,56618.31,13.12,220.83
ICICIGI,EQ,1825,1.06,90900.43,11.99,218.56
BHEL,EQ,260.25,5.07,90620.7,83.4,211.94
BANDHANBNK,EQ,153.2,2.8,24680.08,137.32,210.03
ABB,EQ,5035,6.96,106695.87,4.19,208.22
BHARATFORG,EQ,1464,3.21,69981.93,14.35,207.3
DIVISLAB,EQ,6217.5,2.67,165055.09,3.35,206.18
GVT&D,EQ,2911,6.59,74535.15,7.07,202.96
CIPLA,EQ,1334.7,1.65,107813.3,15.36,202.87
ADANIPOWER,EQ,135.9,1.04,262079,148.44,199.32
CUMMINSIND,EQ,4017.6,2.27,111367.87,4.95,198.38
HFCL,EQ,64.11,5.18,9812.69,308.94,198
LAURUSLABS,EQ,1001.9,0.17,54088.23,19.82,197.47
TANLA,EQ,518,6.43,6869.58,38.5,197.39
NIFTYBEES,EQ,286.74,0.53,56306.17,68.35,195.56
GMRAIRPORT,EQ,94.2,1.68,99465.55,208.5,195.15
ONESOURCE,EQ,1169.2,1.55,13397.29,16.83,189.74
YESBANK,EQ,21.49,2.24,67433.41,878.04,187.81
GAIL,EQ,168.12,5.09,110540.58,111.94,185.63
MUTHOOTFIN,EQ,3971.5,2.69,159443.21,4.68,184.45
PFOCUS,EQ,220.02,1.8,17073.34,82.84,184.31
INDUSTOWER,EQ,425.05,0.59,112135.11,43.37,184.12
RPOWER,EQ,29.5,7.55,12200.52,637.43,183.58
360ONE,EQ,1140,2.36,46200.82,15.96,181.33
SILVER1,EQ,335.5,3.58,4205.21,53.52,180.86
PNB,EQ,124.6,1.34,143202.07,145.07,178.91
CHENNPETRO,EQ,851.4,1.46,12678.32,20.82,177.58
OLAELEC,EQ,32.16,1.97,14185.23,548.43,175.83
APLAPOLLO,EQ,2085,1.18,57887.11,8.36,174.49
LODHA,EQ,924,1.85,92290.85,18.84,173.77
ANANTRAJ,EQ,493.6,0.7,17763.53,35.17,171.44
SRF,EQ,2835,5.7,84036.44,6.07,168.22
ADANIENSOL,EQ,880,3.64,105712.87,18.96,163.64
NAUKRI,EQ,1301.3,1.74,84378.97,12.73,163.56
MODEFENCE,EQ,90,7.31,1190.25,184.92,162.31
GOKEX,EQ,562,3.56,4116.08,28.58,159.47
UNITDSPR,EQ,1330,1.41,96737.66,11.54,152.33
ANGELONE,EQ,2617.6,2.93,23782.33,5.73,149.15
GOLD1,EQ,136.6,3.18,13865.4,108.38,147.77
OLECTRA,EQ,1089,10.27,8938.59,13.77,146.23
MMTC,EQ,67.5,4.67,10125,212.14,145.12
LGEINDIA,EQ,1408,0.56,95571.15,10.34,144.75
NYKAA,EQ,238.4,0.8,68242.57,60.65,143.27
BEML,EQ,1817.8,9.99,15140.27,8.04,143.05
DABUR,EQ,517.2,0.74,91735.26,27.75,141.93
MTARTECH,EQ,2725,7.76,8381.99,5.31,140.89
IREDA,EQ,134.19,4.12,37697.07,104.4,137.03
SILVERBETA,EQ,337.9,4.33,2252.88,40.45,136.61
MOTHERSON,EQ,111.65,1.81,117835.57,121.29,133.6
JWL,EQ,325.4,5.39,13813.17,41.26,131.44
SONACOMS,EQ,492.5,0.96,30619.76,26.65,130.19
HDFCLIFE,EQ,728.9,1.23,157268.62,17.79,129.01
GROWWSLVR,EQ,336,3.05,554.72,37.6,127.91
INFOBEAN,EQ,887.45,20,2170.29,14.57,123.08
KITEX,EQ,188.5,5.61,3760.57,65.65,122.56
ICICIAMC,EQ,2840,4.91,140369.42,4.36,122.28
MFSL,EQ,1619.8,2.74,55901.69,7.53,121.63
PIDILITIND,EQ,1464.9,1.22,149084.93,8.25,119.49
STLTECH,EQ,103.48,19.99,5050.9,120.27,118.81
SYRMA,EQ,723.95,10.17,13959.96,16.91,118.62
SBICARD,EQ,784.5,1.75,74651.25,14.75,115.44
NUVAMA,EQ,1314,3.86,23894.82,8.52,111
BAJAJCON,EQ,323.3,1.71,4222.89,34.76,110.97
HBLENGINE,EQ,740,4.99,20512.43,15.11,110.46
SANDUMA,EQ,220.38,4.78,10712.78,49.87,109.85
GRAPHITE,EQ,662,5.42,12933.86,16.93,109.75
PRESTIGE,EQ,1418.5,1.9,61099.08,7.72,109.39
NBCC,EQ,99.78,3.04,26940.6,110.31,108.43
DYCL,EQ,308.5,5.4,1494.95,33.67,108.42
DELHIVERY,EQ,406.95,1.65,30451.77,26.44,106.94
PREMIERENE,EQ,719.95,1.75,32613.33,14.93,105.91
HDBFS,EQ,711,1.6,59015.71,14.84,105.36
RBLBANK,EQ,297.5,0.73,18360.41,35.06,103.88
IRCTC,EQ,627,3.21,50160,16.75,103.46
HAVELLS,EQ,1290.1,0.09,80922.41,8.03,103.39
HCC,EQ,20.25,7.77,5304.42,518.48,103.23
KPRMILL,EQ,925,2.73,31617.79,11.03,102.08
TITAGARH,EQ,821,5.2,11056.72,12.64,101.79
UJJIVANSFB,EQ,62.95,1.42,12205.75,162.34,101.72
INDIANB,EQ,900.3,2.69,121267.17,11.43,101.54
VOLTAS,EQ,1379,3.64,45629.01,7.45,100.74
CONCOR,EQ,497,2.4,37852.41,20.45,100.54
CRAFTSMAN,EQ,7800,3.03,18607.35,1.29,100.41
GOLDCASE,EQ,26,3.96,2075.36,384.79,99.16
DCBBANK,EQ,200,0.19,6434.9,49.24,97.82
GESHIP,EQ,1173,4.96,16746.59,8.36,97.48
AXISILVER,EQ,349.1,5.53,2727.06,27.68,96.36
CPSEETF,EQ,98.6,5.56,28470.02,99.33,95.94
PHOENIXLTD,EQ,1730,0.1,61864.51,5.48,95.12
CROMPTON,EQ,225.35,1.44,14510.62,41.44,93.29
AMBUJACEM,EQ,534,0.33,131995.37,17.39,92.78
BIOCON,EQ,370,1.3,59973.59,25.19,92.65
FORTIS,EQ,850,1.38,64171.44,10.9,92.33
DMART,EQ,3735,1.75,243048.8,2.43,90.11
BLUESTARCO,EQ,1711.2,2.62,35184.8,5.36,89.96
FORCEMOT,EQ,18930,0.77,24671.31,0.47,89.57
PETRONET,EQ,291,4.79,43650,31,89.45
LTIM,EQ,6016,1.27,178367.93,1.49,89.29
JKCEMENT,EQ,5665.5,3.41,43776.33,1.58,89.28
IEX,EQ,128.72,0.92,11477.87,68.73,87.95
