Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
TEJASNET,EQ,490.1,1.11,8704.4,1196.45,6021.83
BHARTIARTL,EQ,1908.5,1.88,1088246.8,205.66,3862.48
INFY,EQ,1306.1,1.33,529581.08,151.55,1978.63
PARAS,EQ,725.05,8.08,5842.98,231.57,1679.94
JINDRILL,EQ,597,14.33,1730.17,277.6,1654.62
OIL,EQ,491.6,0.73,79964.04,201.9,1002.84
NATIONALUM,EQ,372.6,2.69,68432.9,263.8,968.27
SOLARINDS,EQ,14598,4.35,132097.38,6.62,952.45
COALINDIA,EQ,434.15,1.85,267554.85,189.21,822.49
SAGILITY,EQ,41.12,5.87,19249.62,1954.11,805.09
CHENNPETRO,EQ,993.55,5.96,14795.09,78.98,776.52
SWIGGY,EQ,294.45,1.89,81277.43,184.41,544
ZENTEC,EQ,1411,4.88,12739.97,33.54,470.76
SPMLINFRA,EQ,180,8.58,1358.22,237.53,435.23
OLAELEC,EQ,24.8,2.99,10938.86,1712.95,427.38
COFORGE,EQ,1169.1,0.55,39251.42,30.36,353.62
PRAJIND,EQ,314.05,3.14,5772.65,109.54,347
BALRAMCHIN,EQ,490.9,7.12,9913.75,68.35,333.96
PERSISTENT,EQ,4700,0.57,74142.5,7.07,332.84
LIQUIDCASE,EQ,113,0.03,8792.47,251.65,284.31
MRPL,EQ,191,1.32,33474.64,130.58,247.96
TECHM,EQ,1347.4,0.15,132015.52,18.2,245.77
POLYMED,EQ,1393,6.01,14119.38,15.72,216.7
IDEAFORGE,EQ,452.9,2.63,1959.93,47,215.97
POLICYBZR,EQ,1471.5,0.18,68085.29,14.19,208.86
BDL,EQ,1269.5,0.12,46535.11,15.08,191.83
RPOWER,EQ,23.19,0.91,9590.85,818.17,188.51
PNGSREVA,EQ,399.1,6.43,1265.08,47.99,187.46
NAUKRI,EQ,999.3,0.08,64796.67,17.7,176.46
MPHASIS,EQ,2263,0.33,43148.3,6.75,153.01
PFOCUS,EQ,277.3,0.71,21518.22,46.18,128.73
ECLERX,EQ,3206.2,3.97,15077.27,3.8,120.94
GUJGASLTD,EQ,407,2.25,28017.48,29.8,120.02
RENUKA,EQ,25.2,7.33,5363.79,470.83,118.32
TRIVENI,EQ,397.65,0.57,8704.48,26.22,106.54
YATRA,EQ,118,10.84,1851.61,94.51,105.61
SRF,EQ,2540.4,0.13,75303.76,3.79,95.57
SUNDARMFIN,EQ,5390,1.68,59884.98,1.71,93.01
