Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
APOLLO,EQ,411,0.69,14684.72,673.31,2808.52
ADANIPOWER,EQ,245.12,5.03,472706.44,916.64,2214.33
ATGL,EQ,713,8.17,78416.46,290.37,2066.04
POWERINDIA,EQ,35645,0.03,158878.19,5.12,1808.38
BSE,EQ,4420,3,180284.76,37.83,1644.91
SBIN,EQ,969.8,0.02,895185.29,162.7,1579.08
ADANIENT,EQ,2973,4.33,384079.85,48.99,1431.02
ASTRAMICRO,EQ,1362,10.23,12931.51,107.05,1425.49
VEDL,EQ,344.8,3.7,134830.18,398.44,1373.35
IDEA,EQ,14.09,0.36,152655.34,7471.87,1053.53
PREMEXPLN,EQ,720,0.76,3870.81,127.78,961.51
SUZLON,EQ,54.6,1.13,74886.55,1737.3,948.91
MARKSANS,EQ,254.45,15.52,11530.75,380.57,942.64
ADANIENSOL,EQ,1489,6.03,178870.99,61.72,889.17
ATHERENERG,EQ,954,3.54,36536.53,91.64,887.24
TMPV,EQ,385.6,3.31,142004.28,213.47,816.2
SAIL,EQ,203.58,2.65,84089.23,357.28,725.71
ADANIGREEN,EQ,1464.8,3.81,240431.37,49.49,712.43
TEJASNET,EQ,503.5,6.23,8951.24,133.03,664.85
HINDALCO,EQ,1107.2,0.69,248812.92,58.81,651.43
LT,EQ,4037,0.09,555381.87,15.53,626.72
GMDCLTD,EQ,694.8,5.99,22094.64,91.08,626.06
ETERNAL,EQ,251,1.34,242223.8,244.47,612.73
BLISSGVS,EQ,381.05,20,4031.09,162.61,595.62
ARE&M,EQ,891,0.86,16307.56,65.51,592
BAJAJ-AUTO,EQ,10605,1.09,296407.46,5.6,590.65
HINDZINC,EQ,647.65,2.07,273652.79,78.94,508.38
HINDUNILVR,EQ,2204,0.34,517849.91,23.03,507.55
TATACOMM,EQ,2005,3.56,57142.5,25.22,505.66
WAAREEENER,EQ,3087.9,3.47,88823.86,15.4,474.44
DIACABS,EQ,204.99,4.27,10802.38,229.7,467.55
NAUKRI,EQ,982,4.64,63674.9,47.83,465.37
WOCKPHARMA,EQ,1715.1,4.73,27867.9,26.87,455.5
HAL,EQ,4435.5,0.22,296635.15,9.84,435.3
PACEDIGITK,EQ,202,6.09,4360.2,211.44,433.85
SUNPHARMA,EQ,1842.5,0.1,442067.05,23.38,427.96
HINDCOPPER,EQ,560,2.65,54153.35,76.25,423.89
HSCL,EQ,606.85,2.29,30618.11,69.12,422.1
POLYCAB,EQ,9630,2.46,144989.13,4.24,404.14
LENSKART,EQ,509.7,1.18,88505.12,77.11,394.92
TATAPOWER,EQ,421,1.8,134523.79,93.32,393.86
PAYTM,EQ,1133.4,3.28,72558.02,34.41,385.67
IFBIND,EQ,1143,8.63,4631.3,32.55,384.57
ADANIPORTS,EQ,1809.9,0.39,416993.56,21.05,381.03
PREMIERENE,EQ,1019.3,3.48,46173.72,36.97,374.64
TATASTEEL,EQ,210.44,0.1,262703.35,178.02,374.21
BANDHANBNK,EQ,201.25,2.17,32420.94,182.71,367.3
REFEX,EQ,295,3.82,4047.97,121.3,360.29
JSWENERGY,EQ,577.95,3.75,101562.71,61.08,349.72
LICI,EQ,855.7,2.19,541230.05,40.73,345.7
NETWEB,EQ,3854,0.28,21944.94,8.77,340.63
MARUTI,EQ,13238,0.52,416206.13,2.57,340.27
FCL,EQ,39.19,0.41,4563.68,842.6,338.81
JPPOWER,EQ,19.16,1.48,13131.23,1704.42,328.61
FEDERALBNK,EQ,289.75,0.17,71411.58,109.84,319.82
NATIONALUM,EQ,417.75,3.66,76725.29,75.24,309.86
BIOCON,EQ,436.5,1.5,70752.62,71.07,309.62
ONGC,EQ,287.35,0.84,361494.32,106.29,305.42
SURYAROSNI,EQ,234.6,8.09,5105.74,124.76,297.27
HBLENGINE,EQ,800.4,5.5,22186.68,36.85,293.4
YESBANK,EQ,22.8,2.29,71559.01,1222.17,275.97
AUBANK,EQ,1018.5,1.92,76240.39,27.01,273.09
NLCINDIA,EQ,345.5,1.07,47908.29,76.3,265.6
WALCHANNAG,EQ,266,8.57,1804.6,99.24,264.69
EXIDEIND,EQ,367.15,6.04,31207.75,73.52,264.15
SIEMENS,EQ,3679.9,0.34,131048.78,7.13,260.75
IOLCP,EQ,136.8,10.32,4015.46,191.47,257.13
VBL,EQ,531.85,0.22,179887.42,48.11,255.48
OFSS,EQ,9903,2.06,86217.94,2.6,254.94
BBOX,EQ,985,0.91,17483.28,25.34,253.27
COFORGE,EQ,1422,1.72,47751.98,17.8,252.12
TECHM,EQ,1460,1.71,143073.31,17.26,250.46
BHARATCOAL,EQ,37.99,5.44,17691.94,650.26,248.21
CGPOWER,EQ,880.75,1.48,138714.36,27.89,245.37
LAURUSLABS,EQ,1372,1.16,74068.32,17.54,240.06
UNIPARTS,EQ,606.9,8.47,2739.74,37.65,237.6
VIKRAN,EQ,77.8,10.17,2006.55,302.54,234.02
GVT&D,EQ,4838,1.33,123875.31,4.83,233.58
PERSISTENT,EQ,5116,1.55,80704.9,4.56,232.55
DATAPATTNS,EQ,4109,0.32,23003.81,5.57,229.22
REDTAPE,EQ,148.5,11.51,8209.19,154.12,228.66
SUPRAJIT,EQ,473,6.3,6488.2,46.03,225.33
LIQUIDCASE,EQ,114.23,0.01,9672.6,195.21,222.97
JSWSTEEL,EQ,1293.6,0.33,316343.93,17.13,221.91
CEMPRO,EQ,945.05,7.4,16234.79,23.55,221.02
HYUNDAI,EQ,1887,0.32,153326.51,11.78,220.98
INDUSINDBK,EQ,935,0.96,72846.88,23.24,215.56
SWIGGY,EQ,255,1.98,70388,84.87,215.31
TATATECH,EQ,707.55,4.47,28730.2,30.6,213.97
ZYDUSLIFE,EQ,1077,0.38,108371.4,19.49,210.12
QUADFUTURE,EQ,301,4.28,1204,67.69,210.11
TATACONSUM,EQ,1190,0.24,117712.01,17.67,210.08
NESTLEIND,EQ,1431.7,1.28,276076.76,14.73,209.8
TATACHEM,EQ,783,2.23,19947.42,26.46,209.53
SBCL,EQ,751,7.63,4326.08,27.23,207.28
HEROMOTOCO,EQ,4987,0.16,99786.35,4.13,206.01
SOLARINDS,EQ,18500,0.67,167406.6,1.11,205.15
DIAMONDYD,EQ,1107,12.96,2646.9,18.81,200
AMBUJACEM,EQ,450.4,1.91,111330.93,44.49,199.98
CDSL,EQ,1232,1.2,25748.8,15.93,194.68
BHARATFORG,EQ,1938.9,1.07,92683.04,10.12,194.66
SCI,EQ,306.8,1.34,14290.71,62.99,194.22
SRF,EQ,2749.4,1.42,81499.04,7.05,193.93
IFCI,EQ,64.4,4.29,17351.38,296.8,189.66
