Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,938.8,-0.24,1444633.43,239.48,2246.95
BHARTIARTL,EQ,2038.2,-0.01,1162203.11,75.7,1546.61
INFY,EQ,1497,-0.67,606984.82,82.95,1245.25
ICICIBANK,EQ,1395.1,-0.78,997979.06,78.9,1101.82
RECLTD,EQ,359.2,-3.57,94585.41,233.02,842.68
PFC,EQ,414.55,-1.11,136805.72,195.38,813.2
ITC,EQ,322.7,-0.95,404400.29,200.59,649.22
GROWW,EQ,165,-2.49,101864.34,359.23,602.18
AXISBANK,EQ,1341,-0.04,416500.84,40.78,546.62
BAJFINANCE,EQ,981.2,-0.05,610516.56,48.53,475.5
HBLENGINE,EQ,772.8,-1.52,21421.63,51.22,398.71
POWERGRID,EQ,289.35,-0.05,269112.97,131.15,379.82
SAIL,EQ,158.55,-1.23,65489.48,221.02,351.49
MAXHEALTH,EQ,1010.5,-2.82,98321.8,32.35,329.8
HEROMOTOCO,EQ,5748.5,-0.09,115016.91,5.44,312.17
MARUTI,EQ,14980,-0.11,470975.06,2,299.71
NTPC,EQ,361.2,-1.05,350243.58,79.83,290.85
ONGC,EQ,266.7,-0.84,335516.05,108.24,289.29
PAYTM,EQ,1178.1,-0.78,75378.19,24.27,287.25
IDBI,EQ,104.24,-2.45,112083.04,270.91,283.4
VENKEYS,EQ,1472,-8.02,2073.66,17.13,274.69
GODFRYPHLP,EQ,2180.1,-0.37,34005.58,10.8,235.67
WIPRO,EQ,230.1,-0.27,241313.99,91.12,210.03
ADANIPOWER,EQ,151.1,-1.07,291391.74,137.4,209.38
LICI,EQ,895,-0.76,566087.29,23.24,208.01
PAGEIND,EQ,34850,-2,38871.25,0.58,203.16
BPCL,EQ,385.8,-0.14,167376.74,51.72,200.34
SHREECEM,EQ,27100,-0.84,97778.83,0.74,199.88
SIEMENS,EQ,3109,-2.12,110717.87,6.43,199.32
COALINDIA,EQ,431.45,-0.31,265890.91,45.13,194.77
CARTRADE,EQ,2187,-3.38,10463.25,8.82,193.85
BRITANNIA,EQ,5843,-1.15,140739.35,3.31,193.22
MRF,EQ,145260,-0.82,61606.84,0.13,190.32
OIL,EQ,489,-1.66,79541.12,38.03,186.67
HEXT,EQ,604,-1.56,36905.37,26.49,160.48
TECHM,EQ,1619,-0.06,158620.4,9.34,151.47
IDFCFIRSTB,EQ,84.72,-0.46,72840.09,170.21,144.46
IZMO,EQ,831,-1.24,1242.64,15.79,136.06
ICICIPRULI,EQ,647.1,-0.65,93714.45,19.47,126.74
ENRIN,EQ,2708,-1.19,96437.43,4.63,124.92
ICICIAMC,EQ,3015,-1.49,149018.94,4.14,124.54
NHPC,EQ,79,-0.54,79355.77,153.09,120.68
BOSCHLTD,EQ,35670,-1.84,105203.81,0.31,112.62
OLAELEC,EQ,31.57,-0.41,13924.99,348.46,110.01
ECLERX,EQ,4150,-0.86,19515.52,2.47,103.93
FEDERALBNK,EQ,286.5,-0.1,70532.89,36.14,103.69
OSWALPUMPS,EQ,377.5,-0.46,4302.65,25.25,98.36
NESTLEIND,EQ,1296,-0.56,249909.54,7.46,96.71
FIVESTAR,EQ,440,-2.33,12959.95,21.64,96.6
DELHIVERY,EQ,433.45,-0.61,32434.75,20.43,88.69
CONCORDBIO,EQ,1267.5,-4.5,13260.1,6.87,88.67
BAJAJELEC,EQ,403,-2.35,4650.15,21.11,85.67
ABB,EQ,5815.5,-0.01,123235.32,1.37,79.82
HYUNDAI,EQ,2177.7,-0.39,176947.08,3.48,75.8
BBL,EQ,2605,-8.18,2944.46,2.67,73.57
SARDAEN,EQ,514.55,-2.83,18131.78,12.9,65.97
BALKRISIND,EQ,2675,-1.1,51712.35,2.34,62.51
QPOWER,EQ,809.5,-1.16,6269.1,7.57,61.97
BHARATCOAL,EQ,36.66,-1.03,17072.56,167.84,61.77
SUNDARMFIN,EQ,5421,-0.33,60229.4,1.06,58.17
EIEL,EQ,175,-3.41,3071.78,29.91,55.07
PWL,EQ,114.96,-1.03,32875.02,46.11,53.09
HSCL,EQ,453,-0.48,22853.62,11.45,52.43
CUB,EQ,288.8,-1.25,21431.8,17.92,52.16
NAM-INDIA,EQ,919.7,-0.01,58593.33,5.42,50.06
TITAGARH,EQ,778,-0.45,10477.62,6.38,49.78
PIDILITIND,EQ,1488.5,-0.04,151486.73,3.22,47.86
BAJAJHFL,EQ,91.14,-0.15,75940.9,51.36,46.87
INDIASHLTR,EQ,752,-4.88,8170.06,6.15,46.29
JTLIND,EQ,65.2,-3.39,2562.89,66.88,44.88
CAPILLARY,EQ,593.9,-2.27,4710.33,7.27,44.28
INDOTHAI,EQ,245.36,-3.71,3065.12,17.41,43.95
EIHOTEL,EQ,343.6,-1.28,21487.51,12.34,42.02
SHREEJISPG,EQ,376.3,-2.45,6130.61,10.84,41.48
MBEL,EQ,349.95,-3.99,1999.9,11.05,39.4
ITBEES,EQ,39.31,-0.1,2985.66,99.25,39.07
HOMEFIRST,EQ,1170,-0.41,12179.19,3.29,38.93
LLOYDSME,EQ,1256,-0.42,66453.72,2.77,35.15
BERGEPAINT,EQ,468,-0.93,54567.22,7.49,34.99
SBC,EQ,30.25,-1.43,1440.47,113.69,34.88
PINELABS,EQ,216.99,-0.51,24916.45,15.98,34.79
CAPLIPOINT,EQ,1761.7,-3.51,13390.98,1.96,34.6
PGIL,EQ,1803.7,-1.7,8312.16,1.91,34.42
ZENSARTECH,EQ,624,-0.89,14191.66,5.21,32.78
V2RETAIL,EQ,1975,-0.7,7201.59,1.63,32.38
SUPRAJIT,EQ,446,-3.62,6117.83,6.84,31.11
KNRCON,EQ,146.49,-3.71,4119.81,20.72,30.71
CEIGALL,EQ,290,-0.63,5051.94,10.48,30.4
RELINFRA,BE,117.4,-2.26,4797.33,25.61,29.69
PRIVISCL,EQ,2754.9,-0.11,10761.38,1.05,28.98
GMMPFAUDLR,EQ,964,-2.98,4333.88,2.9,27.98
MASTEK,EQ,1966.1,-2.45,6093.21,1.38,27.41
ETHOSLTD,EQ,2600,-1.13,6957,1.05,27.3
LLOYDSENT,EQ,58.97,-1.63,7501.73,44.1,26.43
EUROPRATIK,EQ,240,-14.38,2452.8,10.69,26.31
LALPATHLAB,EQ,1426.5,-1.17,23901.15,1.82,26.21
INTERARCH,EQ,2100,-0.02,3522.09,1.23,25.72
AETHER,EQ,990,-2.11,13133.08,2.46,24.5
UGROCAP,EQ,136.65,-7.77,1911.16,16.95,23.51
ASIANTILES,EQ,73.88,-1.08,1713.36,30.65,22.64
CRAFTSMAN,EQ,7823,-0.14,18662.22,0.28,22.28
TI,EQ,446.95,-1.32,9305.22,4.89,21.97
CREDITACC,EQ,1282.3,-0.59,20531.45,1.71,21.95
JKLAKSHMI,EQ,728.55,-0.2,9044.54,2.86,20.92
GRMOVER,EQ,162.38,-1.62,2988.7,12.35,20.23
KERNEX,EQ,1186,-0.69,1992.77,1.67,20
ARSSBL,EQ,566.9,-1.04,3555.89,3.43,19.51
KSCL,EQ,878,-0.89,4516.35,2.01,17.77
HARIOMPIPE,EQ,385,-7.02,1192.24,4.48,17.7
WESTLIFE,EQ,522.95,-3.56,8139.4,3.35,17.53
GMRP&UI,EQ,105.37,-3.84,7532.23,16.24,17.26
AIIL,EQ,502.9,-0.46,42707.55,3.44,17.13
GALLANTT,EQ,581,-1.35,14018.42,2.97,16.95
ABDL,EQ,510,-0.92,14265.22,3.29,16.73
LGBBROSLTD,EQ,1835.1,-1.8,5852.58,0.86,15.73
AJMERA,EQ,142,-1.99,2794.5,10.46,15.25
PAISALO,EQ,34.65,-3.54,3151.49,41.9,14.81
EMBDL,BE,67.73,-0.43,9418.76,21.23,14.52
KSHINTL,EQ,368.7,-2.42,2498.15,3.84,14.03
UNIVCABLES,EQ,730,-3.71,2532.76,1.92,13.96
RUBICON,EQ,784.15,-0.06,12918.9,1.75,13.94
LATENTVIEW,EQ,422.7,-1,8746.72,3.25,13.78
FUSION,EQ,184.1,-3.11,2970.74,7.25,13.61
GUJGASLTD,EQ,423.8,-0.39,29173.97,3.16,13.46
ASMS,EQ,12.6,-14.34,383.77,96.79,13.33
SANGHVIMOV,EQ,303.4,-4.65,2626.72,4.31,13.1
CRISIL,EQ,4700,-1.16,34371.11,0.28,12.97
VARROC,EQ,554,-3.39,8464.37,2.31,12.96
UTKARSHBNK,EQ,13.99,-0.5,2489.55,91,12.65
ECOSMOBLTY,EQ,206.98,-1.02,1241.88,5.85,12.27
CMSINFO,EQ,321.5,-1.35,5287.79,3.75,12.2
KRSNAA,EQ,700,-0.11,2270.71,1.76,12.2
INDIAMART,EQ,2238,-0.02,13447.5,0.52,11.76
VENTIVE,EQ,776.25,-0.08,18128.67,1.51,11.74
DIAMONDYD,EQ,1087.8,-1.33,2599.94,1.08,11.72
SPARC,EQ,138,-0.83,4478.1,8.18,11.45
RAMCOSYS,EQ,511,-1.59,1913.2,2.17,11.22
AEGISVOPAK,EQ,217.1,-0.33,24054.5,5.08,11.07
GOCOLORS,EQ,366.2,-4.99,1977.81,3.01,11.05
HCG,EQ,559.95,-1.53,7895.72,1.87,10.53
GTLINFRA,EQ,1.12,-0.88,1424.26,895.3,10.21
ACCELYA,EQ,1206.6,-5.31,1801,0.81,9.89
709GS2074,GS,96.94,-0.07,153165.2,9.91,9.61
KANSAINER,EQ,212.99,-0.63,17220.69,4.52,9.61
ATALREAL,EQ,26.01,-4.45,288.75,34.71,9.27
SAPPHIRE,EQ,215,-0.07,6909.73,4.2,8.97
DOMS,EQ,2415.7,-0.14,14660.35,0.37,8.91
ASAHIINDIA,EQ,975,-0.12,24855.4,0.88,8.54
NEOGEN,EQ,1322.8,-2.27,3489.77,0.64,8.47
BLUEDART,EQ,5823,-0.38,13816.78,0.14,8.14
SABTNL,BE,1886.1,-5,4785.61,0.4,7.98
VINDHYATEL,EQ,1151,-7.51,1364.03,0.68,7.9
JAIBALAJI,EQ,73,-0.34,6659.48,10.46,7.7
ACI,EQ,568.5,-2.02,7018.61,1.33,7.58
DCMSHRIRAM,EQ,1154,-0.41,17995.74,0.63,7.24
STYLAMIND,EQ,2200.1,-0.28,3728.74,0.32,7.14
VIDYAWIRES,EQ,49.49,-2.06,1052.61,14.08,7.05
EPACKPEB,EQ,209,-0.45,2099.45,3.01,6.35
DELPHIFX,EQ,223.51,-1.04,365.47,2.77,6.25
SKMEGGPROD,EQ,194.1,-1.62,1022.13,3.16,6.22
SAATVIKGL,EQ,421.15,-1.89,5353.03,1.43,6.13
VENUSPIPES,EQ,1189,-0.81,2463.15,0.49,5.89
LTGILTBEES,EQ,29.13,-0.21,2618.84,19.4,5.65
UNIECOM,EQ,101,-0.49,1135.03,5.54,5.58
GOODLUCK,EQ,1148.8,-0.28,3818.44,0.48,5.55
ALLCARGO,EQ,10,-1.38,1497.78,54.53,5.55
SUNDRMFAST,EQ,927,-0.39,19478.9,0.59,5.49
TEAMLEASE,EQ,1395,-1.91,2339.26,0.39,5.49
ASKAUTOLTD,EQ,452.75,-0.29,8925.63,1.21,5.48
NIBE,EQ,1009.5,-1.09,1463.9,0.54,5.48
SATIN,EQ,157.9,-1.24,1744.34,3.42,5.47
SKFINDIA,EQ,1749.3,-0.18,8648.18,0.3,5.22
ARFIN,EQ,76.5,-1.54,1290.73,6.54,5
JLHL,EQ,1249,-0.22,8189.2,0.39,4.9
HINDOILEXP,EQ,154.95,-0.4,2049.11,3.14,4.89
MAFANG,EQ,153.26,-2.48,3790.17,3.14,4.81
BOROLTD,EQ,249.95,-1.05,2988.96,1.9,4.78
