Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
PAYTM,EQ,1137.8,-0.83,72831.68,216.82,2387.87
ICICIBANK,EQ,1316.6,-0.72,943378.66,153.86,2029.67
SHRIRAMFIN,EQ,974,-3.69,229151.66,150.97,1473.2
AXISBANK,EQ,1325.4,-2.97,412009.33,107.68,1417.19
ETERNAL,EQ,254.96,-0.71,246045.34,320.02,821.66
BEL,EQ,436,-1.9,318706.36,185.03,809.62
GROWW,EQ,215.61,-1.11,135265.02,338.19,736.99
DATAPATTNS,EQ,3960,-2.89,22169.65,15.61,631.35
KAYNES,EQ,4215,-1.21,28255.11,13.24,560.85
GRSE,EQ,2858,-0.72,32738.96,16.03,459.91
LTF,EQ,287.45,-0.9,71997.57,156.82,459.09
CHOLAFIN,EQ,1566,-0.14,133429.02,29.19,454.4
TRENT,EQ,4256,-0.96,151295.46,10.58,454.24
POWERINDIA,EQ,32195,-0.02,143500.72,1.24,400.16
RBLBANK,EQ,312.9,-2.64,19348.02,121.37,378.38
BRITANNIA,EQ,5725,-0.1,137897.1,6.58,377.36
CHENNPETRO,EQ,998,-3.57,14861.36,31.75,320.13
CUMMINSIND,EQ,5200,-0.61,144144,6.02,316
COALINDIA,EQ,454.5,-0.33,280096,69.22,314.15
UNIONBANK,EQ,175.99,-0.57,134343.83,172.3,304.44
MRPL,EQ,171.9,-7.77,30127.17,169.07,294.09
FORCEMOT,EQ,20043,-1.49,26121.87,1.35,275.93
HINDUNILVR,EQ,2326.5,-0.03,546632.41,11,257.13
ASHOKLEY,EQ,169.61,-0.17,99626.45,150.1,254.48
TMCV,EQ,421,-0.84,155026.15,58.63,247.88
NESTLEIND,EQ,1411.7,-0.68,272220.13,17.19,245.07
SWIGGY,EQ,285.6,-0.52,78834.56,83.84,241.78
GVT&D,EQ,4562.9,-0.77,116831.47,5.24,240.66
POLICYBZR,EQ,1660,-2.16,76807.05,13.9,234.52
CGPOWER,EQ,820,-0.38,129144.81,25.49,210.16
BDL,EQ,1390,-0.74,50952.19,14.57,204.14
AUBANK,EQ,1040.5,-2.36,77866.73,19.33,201.56
SHAILY,EQ,2428.3,-2.99,11159.28,8.4,201.37
CANBK,EQ,140.55,-0.21,127488,137,192.77
MUTHOOTFIN,EQ,3490,-0.1,140112.5,4.92,172.55
SAMMAANCAP,EQ,143.12,-0.29,16582.89,118.55,170.6
BANKBARODA,EQ,273.5,-0.23,141436.76,60.45,165.68
TDPOWERSYS,EQ,1095,-1.6,17105.52,14.55,160.1
JUBLFOOD,EQ,484,-1.62,31936.51,31.29,153.31
SBICARD,EQ,670,-0.04,63757.22,21.78,146.43
INDUSTOWER,EQ,402,-0.05,106054.14,33.82,136.2
ENRIN,EQ,3184,-0.66,113388.77,3.96,127.51
TATACONSUM,EQ,1160,-1.19,114744.07,10.2,118.98
UNITDSPR,EQ,1391.2,-0.05,101189.05,8.21,114.54
ASIANPAINT,EQ,2478.1,-0.28,237698.8,4.52,112.8
MEESHO,EQ,178.7,-1.1,81559.67,59.74,108.82
ONESOURCE,EQ,1822,-0.13,20887.89,5.89,107.85
DCBBANK,EQ,189.98,-1.75,6115.49,53.79,105.3
ARE&M,EQ,879.3,-0.1,16093.42,11.27,99.25
ANANDRATHI,EQ,3560,-0.58,29555.35,2.45,87.09
ROLEXRINGS,EQ,148.7,-4.23,4049.59,57.48,86.45
CUPID,EQ,112.65,-0.39,15147.6,76.24,85.89
ASTRAL,EQ,1543,-1.29,41452.72,5.36,83.36
GUJALKALI,EQ,723,-6.04,5309.49,10.91,83.03
TATACAP,EQ,333.4,-1.13,141523.93,24.78,82.95
APLAPOLLO,EQ,1996,-0.42,55420.62,4.06,81.51
COLPAL,EQ,2140,-1.44,58204.93,3.72,80.31
ICICIGI,EQ,1772,-0.01,88344.41,4,71.12
LENSKART,EQ,524,-1.85,90988.2,13.03,68.44
ABSLAMC,EQ,1065,-0.25,30757.86,5.85,62.37
GODREJCP,EQ,1088.2,-0.16,111349.48,5.56,60.92
BHARTIHEXA,EQ,1499.1,-2.22,74955,3.98,59.83
NATCOPHARM,EQ,1092,-0.11,19558.8,5.38,59.1
ICICIAMC,EQ,3280.7,-0.39,162151.39,1.75,57.42
CHOICEIN,EQ,692,-1.3,15416.13,7.15,50.19
ANURAS,EQ,1330.5,-0.78,15147.52,3.63,48.56
JTLIND,EQ,81,-0.48,3183.96,57.8,46.46
DELTACORP,EQ,75.25,-1.88,2014.98,55.13,42.05
CMPDI,EQ,180.5,-0.19,12887.7,23.1,41.46
MINDACORP,EQ,527,-0.11,12599.49,7.81,40.95
INDOTECH,EQ,2360,-1.79,2506.32,1.69,39.49
PIRAMALFIN,EQ,1837.9,-1.35,41661.09,2.11,39.25
SUNDARMFIN,EQ,4674,-1.7,51929.94,0.83,38.75
ABCOTS,EQ,248.7,-19.99,546.24,14.6,38.57
IPCALAB,EQ,1546.2,-0.62,39227.75,2.41,37.37
