Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HINDCOPPER,EQ,596,-13.11,57634.63,880.3,5238.65
MCX,EQ,2226,-11.95,56761.18,210,4621.15
BEL,EQ,421.95,-6.02,308436.12,1015.64,4429.72
BSE,EQ,2570,-8.12,104826.21,164.93,4242.78
VEDL,EQ,654,-4.04,255739.38,473.37,3065.75
GOLDBEES,EQ,122.3,-6.73,53116.31,2535.78,3057.65
HINDZINC,EQ,567.75,-9.67,239892.49,459.09,2603.48
HAL,EQ,4370,-5.4,292254.67,40.34,1817.06
DIXON,EQ,10158,-2.76,61644.58,14.89,1565.91
GROWW,EQ,167.99,-5.11,103710.25,865.93,1439.51
NATIONALUM,EQ,353.3,-8.34,64888.2,386.4,1361.26
RELIANCE,EQ,1342.8,-3.77,1817140.43,97.15,1337.81
SBIN,EQ,1020,-5.31,941522.99,120.52,1250.79
RVNL,EQ,327,-4.78,68180.16,356.45,1199.99
GRSE,EQ,2525,-8.65,28924.38,41.77,1112.9
MAZDOCK,EQ,2379.8,-7.51,95996.37,44.2,1109.46
ITC,EQ,308.15,-4.35,386166.56,332.79,1046.99
LT,EQ,3800,-3.36,522720.73,26.55,1042.69
BDL,EQ,1378,-10.41,50512.31,68.66,991.28
ANGELONE,EQ,2321.9,-8.62,21095.73,42.04,978.15
HDFCBANK,EQ,918.05,-1.21,1412591.17,98.56,915.86
IRFC,EQ,113.7,-5.33,148588.91,695.12,827.96
HINDALCO,EQ,907,-5.78,203823.45,87.4,796.76
IDEA,EQ,10.82,-3.13,117227.16,7257.86,791.11
RECLTD,EQ,358.75,-1.47,94466.91,200.6,741.16
CDSL,EQ,1231,-6.76,25727.9,57.85,724.97
TATAGOLD,EQ,14.9,-5.52,5298.41,4941.91,717.07
ICICIBANK,EQ,1334,-1.55,954122.87,49.7,670.76
BHARTIARTL,EQ,1934,-1.76,1102787.17,29.26,570.84
MARUTI,EQ,14185,-2.84,445980.05,3.94,567.53
GMDCLTD,EQ,575,-0.48,18285,94.87,559.83
M&M,EQ,3362,-2.03,418074.39,16.09,552.73
ETERNAL,EQ,268.5,-1.86,259111.91,202.57,547.53
GOLDIETF,EQ,129,-7.61,23100.15,418.41,524.65
DATAPATTNS,EQ,2485.2,-6.98,13913.14,19.12,507.17
TATASTEEL,EQ,185.9,-3.74,232068.77,265.27,501.16
MUTHOOTFIN,EQ,3500,-8.61,140513.97,13.95,497.49
NTPC,EQ,340.9,-4.24,330559.35,139.76,488.67
BAJAJ-AUTO,EQ,9500,-1.02,265522.95,5.04,480.75
NIFTYBEES,EQ,282.37,-1.52,55772.77,167.62,477.62
