Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SILVERBEES,EQ,283.29,-19.5,39925.94,3916.03,12255.21
HINDCOPPER,EQ,675.95,-11.07,65365.99,1131.98,7916.96
GOLDBEES,EQ,131.69,-10.13,55671.1,3522.05,4794.91
VEDL,EQ,680,-11.27,265906.39,546.28,3853.37
ICICIBANK,EQ,1357,-1.92,970573.26,240.14,3278.78
HINDZINC,EQ,626,-12.47,264504.97,494.37,3247.64
TATSILV,EQ,30.7,-12.14,6203.71,8836.82,2840.15
HDFCBANK,EQ,929,-0.69,1429439.79,296.91,2766.72
MCX,EQ,2515,-6.37,64130.45,76.4,1974.96
SILVERIETF,EQ,289.25,-21.24,19440.19,601.29,1945.83
NATIONALUM,EQ,383,-10.69,70343,407.09,1600.52
INFY,EQ,1642.7,-1.01,666061.43,92.08,1505.03
HDFCSILVER,EQ,300,-15.59,10057.84,425.06,1350.11
SWIGGY,EQ,314.9,-3.89,86922.27,416.96,1282.65
TATAGOLD,EQ,15.83,-8.81,5313.31,7386.3,1198.8
ETERNAL,EQ,273.5,-0.67,263937.09,437.52,1197.28
HINDALCO,EQ,962.8,-5.98,216362.97,119.77,1160.02
BSE,EQ,2775.8,-3,113220.46,38.06,1079.87
TATASTEEL,EQ,192.58,-4.81,240407.77,522.63,1010.55
BAJFINANCE,EQ,930.85,-0.46,579188.08,101.51,944.69
TCS,EQ,3129,-0.49,1132099.58,30.22,943.38
SILVER,EQ,285,-22.37,4049.99,265.86,863.84
KOTAKBANK,EQ,407.5,-1.19,405312.69,206.82,843.99
PAYTM,EQ,1130,-3.26,72289.28,73.77,837.01
GOLDIETF,EQ,138.8,-9.48,24609.23,577.59,823.17
NTPC,EQ,354.1,-1.13,343358.95,226.41,803.42
RECLTD,EQ,364.45,-2.89,95967.85,210.87,768.2
HCLTECH,EQ,1691.4,-1.75,458989.31,44.49,754.83
TMCV,EQ,457.5,-2.7,168466.66,158.33,731.87
INDIGO,EQ,4605,-0.35,178025.2,15.67,721.56
SOUTHBANK,EQ,37.65,-14.93,9853.59,1782.8,671.23
PFC,EQ,378.5,-2.15,124908.85,175.8,666.2
ONGC,EQ,268.06,-2.66,337226.96,244.2,660.42
SHRIRAMFIN,EQ,1020,-0.27,191911.81,64.65,659.38
CANBK,EQ,147.25,-2.04,133565.34,434.11,642.75
SETFGOLD,EQ,136,-10.02,23246.38,438.08,618.09
OIL,EQ,511,-0.73,83119.66,120.28,611.38
