Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
RELIANCE,EQ,1384,-0.15,1872894.21,263.02,3634.65
ETERNAL,EQ,255,-1.43,246083.94,1061.72,2701.65
M&M,EQ,3392.9,-4.25,421916.9,71.4,2425.2
BHARTIARTL,EQ,1981,-0.19,1129587.06,105.11,2077.7
KOTAKBANK,EQ,411.9,-2.58,409654.86,476.14,1938.65
ITC,EQ,319.8,-1.11,400757.46,478.48,1531.37
BAJFINANCE,EQ,917.95,-1.07,571161.51,153.12,1404.83
JSWENERGY,EQ,442,-7.46,77251.37,240.92,1057.82
ASIANPAINT,EQ,2628,-2.8,252077.18,38.19,1003.43
BAJAJFINSV,EQ,1926,-1.18,307738.83,47,903.65
MARUTI,EQ,15237,-1.5,479055.2,5.66,859.16
SHRIRAMFIN,EQ,1001.7,-0.18,188468.69,79.85,797.48
GODREJPROP,EQ,1523,-1.18,45873.73,50.07,752.48
DIXON,EQ,10239,-1.17,62136.13,7.02,711.02
TITAN,EQ,4003,-0.47,355380.8,17.61,703.01
CUPID,EQ,396.1,-0.28,10633.98,146.77,581.1
IDEA,EQ,9.89,-0.4,107151.26,5661.93,557.7
CGPOWER,EQ,535.5,-2.48,84334.7,101.01,545.09
LAURUSLABS,EQ,998.9,-1.72,53926.27,53.89,543.7
TMCV,EQ,444.8,-0.98,163790.1,120.75,539.42
CIPLA,EQ,1314,-0.08,106141.21,41.1,537.34
GODREJCP,EQ,1178,-5.03,120538.21,44.35,520.1
HINDUNILVR,EQ,2403,-0.27,564606.78,20.6,494.73
KAYNES,EQ,3365,-0.42,22557.16,12.98,432.5
TMPV,EQ,340,-1.29,125207.7,125.1,425.31
MAXHEALTH,EQ,975.1,-1.64,94877.37,42.3,412.67
AMBER,EQ,5528,-0.67,19443.1,7.14,389.81
ONESOURCE,EQ,1160.4,-18.99,13296.46,29.44,354.52
SYNGENE,EQ,487.95,-10.27,19661.43,63.1,314.12
SBFC,EQ,90,-11.64,9868.25,340.6,306.23
360ONE,EQ,1111,-0.12,45025.54,25.86,287.47
POLICYBZR,EQ,1616,-3.46,74768.24,17.67,287.18
CHOLAFIN,EQ,1642.5,-0.04,138629.82,16.73,274.66
NETWEB,EQ,3069,-1,17387.07,8.72,265.21
PATANJALI,EQ,500,-2.25,54391.41,52.53,263.8
HYUNDAI,EQ,2182,-3.59,177296.47,10.84,237.27
NAUKRI,EQ,1283,-1.38,83192.36,18.43,235.88
MFSL,EQ,1570,-1.81,54183.02,13.48,212.72
GOKEX,EQ,542,-2.77,3969.6,36.03,197.23
ANANDRATHI,EQ,2883.2,-2.57,23936.51,6.87,193.61
RADICO,EQ,2925,-1.25,39163.85,6.55,192.22
NUVAMA,EQ,1278,-4.1,23240.17,14.9,188.82
VBL,EQ,470.55,-0.75,159139.48,38.8,183.2
UJJIVANSFB,EQ,62.47,-0.94,12112.68,276.77,173.15
AUBANK,EQ,960.95,-0.53,71821.74,18.02,172.18
RPOWER,EQ,27.5,-2.72,11373.37,593.12,162.52
CREDITACC,EQ,1332,-4.36,21325.77,11.6,157.52
JUBLFOOD,EQ,489.9,-0.55,32325.82,32.28,156.85
IKS,EQ,1650,-0.07,28309.57,9.61,151.26
FORCEMOT,EQ,18970,-1.84,24723.44,0.75,142.67
IRCTC,EQ,611,-1.1,48880,23.38,142.15
ICICIAMC,EQ,2716,-2.19,134240.61,5.17,141.33
