Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
RELIANCE,EQ,1410.9,-0.92,1909296.56,180.71,2549.71
BHARTIARTL,EQ,1855.7,-0.59,1058139.68,117.42,2175.79
INFY,EQ,1296.5,-1.41,525781.46,96,1243.73
TCS,EQ,2517.4,-0.4,910817.35,43.24,1084.06
ETERNAL,EQ,226.7,-1.25,218773.45,471.97,1073.96
APOLLOPIPE,EQ,367.5,-7.15,1618.77,238.35,969.48
POLYCAB,EQ,7725,-6.12,116299.43,10.57,832.16
BPCL,EQ,327.05,-1.24,141888.45,159.17,521.59
ONGC,EQ,270.4,-0.15,340170.75,184.76,496.31
IOC,EQ,159.99,-0.76,225925.69,267.72,431.6
KEI,EQ,4554,-4.92,43536.51,8.84,402.17
SOLARINDS,EQ,14717,-1.74,133174.21,2.53,376.51
DATAPATTNS,EQ,3431,-1.78,19208.1,10.57,369.2
MEESHO,EQ,140,-2.33,63183.83,223.18,311.36
COFORGE,EQ,1141.4,-2.32,38323.44,24.43,280.34
PARAS,EQ,704.8,-1.91,5679.8,37.3,260.87
MAXHEALTH,EQ,1040,-0.14,101201.65,23.67,246.94
JWL,EQ,286.8,-0.21,12256.98,84.8,240.75
OIL,EQ,471.5,-0.54,76694.56,50.79,238.72
HINDUNILVR,EQ,2191,-0.16,514795.45,10.85,237.88
ADANIPOWER,EQ,139,-0.08,268057.26,151.24,210.52
JINDRILL,EQ,542.05,-4.61,1570.92,32.97,180.57
SWIGGY,EQ,294.95,-2.09,81415.45,59.69,177.38
BHARATFORG,EQ,1845,-0.93,88194.44,9.6,177.07
CHENNPETRO,EQ,932.9,-0.43,13891.94,17.24,161.68
JUBLFOOD,EQ,483.5,-1.05,31903.52,32.19,155.87
TATACONSUM,EQ,1100,-0.23,108808.01,11.65,128.46
DMART,EQ,3960,-0.16,257690.29,3.2,126.66
LTFOODS,EQ,378.6,-0.32,13147,28.75,109.05
FINCABLES,EQ,930.95,-3.28,14237.89,10.81,103.68
ZENTEC,EQ,1438,-0.19,12983.75,6.47,92.72
ICICIGI,EQ,1887.5,-0.12,94048.68,4.78,90.51
TDPOWERSYS,EQ,818.9,-3.13,12792.43,10.18,84.55
DCXINDIA,EQ,192.15,-1.99,2140.29,42.51,82.68
NAUKRI,EQ,978,-0.13,63415.53,8.18,79.64
ITBEES,EQ,33.13,-0.51,3385.28,230.68,76.15
APARINDS,EQ,10014,-1.26,40224.55,0.74,75.43
ICICIPRULI,EQ,601,-0.09,87087.85,9.7,58.57
NH,EQ,1753,-0.3,35824.45,3.16,55.45
KIRLOSENG,EQ,1445,-0.67,21003.03,3.27,46.95
HINDOILEXP,EQ,147.8,-10.61,1954.56,30.48,46.44
EMBASSY,RR,421,-0.78,39906.33,11.02,46.4
POLYMED,EQ,1288.9,-2.25,13064.22,3.51,45.36
ANANDRATHI,EQ,3145,-0.19,26109.99,1.43,45.02
