Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ICICIBANK,EQ,1236.5,-0.35,886511.49,149.53,1843.03
HDFCBANK,EQ,760.1,-0.31,1170214.68,240.13,1823.1
INFY,EQ,1190,-0.58,482623.39,151.21,1807.52
TATASTEEL,EQ,207,-1.09,258409.01,566.7,1160.89
BEL,EQ,413.35,-2.27,302149.71,280.13,1154.01
BHARTIARTL,EQ,1908.2,-0.28,1162718.74,57.79,1100.87
LT,EQ,3912,-0.23,538185.25,19.72,772.7
MOTHERSON,EQ,131.33,-0.12,138605.86,563.55,749.86
VEDL,EQ,334,-1.08,130606.96,210.16,706.02
COFORGE,EQ,1403.6,-0.59,47134.09,48.69,693.88
DIVISLAB,EQ,6880.5,-0.46,182655.66,9.58,659.69
PIIND,EQ,2890,-7.51,43846.54,21.99,639.25
TCS,EQ,2324.1,-0.13,840879.72,25.37,591.88
ETERNAL,EQ,243.5,-1.5,234986.04,234.21,571.38
HAL,EQ,4327,-0.14,289378.94,12.62,542.74
SHRIRAMFIN,EQ,925,-0.25,217636.83,57.64,530.14
LENSKART,EQ,484,-1.77,84042.53,108.36,529.65
KAYNES,EQ,3007,-2.74,20157.32,16.31,493.64
DIXON,EQ,10992,-0.51,66833.44,3.8,416.68
AMBER,EQ,7066,-0.88,24886.29,5.61,393.7
ITC,EQ,307.9,-0.77,385860.99,121.28,372.9
GOLDBEES,EQ,130.29,-0.27,57988.9,281.47,365.63
ADANIGREEN,EQ,1368.6,-0.67,224641.16,26.69,363.48
TMPV,EQ,360.85,-0.1,132889.64,98.75,357.2
OLAELEC,EQ,36.5,-0.22,16099.53,930.37,345.17
PRINCEPIPE,EQ,265,-1.54,2929.87,120.09,338.47
GESHIP,EQ,1667.5,-2.15,23806.42,19.65,328.58
TECHM,EQ,1439,-1.92,141015.4,22.16,322.62
ADANIENT,EQ,2705.5,-0.72,349521.71,11.87,320.66
EICHERMOT,EQ,6859,-0.34,188152.11,4.55,312.1
LODHA,EQ,882.65,-1.07,88176.64,35.76,311.31
GRSE,EQ,2650.2,-0.31,30358.57,11.85,311.18
HINDCOPPER,EQ,556.85,-2.22,53848.73,54.54,301.61
ATHERENERG,EQ,909.15,-0.13,34818.86,33.31,300.72
HINDZINC,EQ,631.85,-0.12,266976.78,47.47,296.66
VBL,EQ,514,-0.16,173850.02,57.36,294.52
ANANDRATHI,EQ,3521,-1.28,29231.57,7.97,279.44
LUPIN,EQ,2282.8,-0.2,104373.24,11.9,272.35
ZEEL,EQ,82.9,-5.45,7962.71,326.21,271.24
GLAND,EQ,2216,-1.56,36510.02,11.8,264.83
GODFRYPHLP,EQ,2325.9,-0.6,36279.8,11.53,262.91
LTM,EQ,4144.9,-2.58,122893.52,6.28,261.61
SUNPHARMA,EQ,1880,-0.12,451064.35,13.77,259.02
SWIGGY,EQ,255.8,-1.88,70608.82,99.06,255.07
BRITANNIA,EQ,5350,-1.23,128864.54,4.62,246.9
SUZLON,EQ,52.64,-0.51,72197.29,464.6,243.5
HINDUNILVR,EQ,2212,-0.94,519729.59,10.72,237.16
GLENMARK,EQ,2370,-1.49,66881.59,9.74,232.95
HDFCLIFE,EQ,605.35,-0.83,130623.61,36.98,224.71
ANGELONE,EQ,325,-0.91,29639.96,65.91,213.83
TATACONSUM,EQ,1210,-0.07,119689.94,17.18,207.52
HEROMOTOCO,EQ,4965,-0.85,99346.14,4.17,206.79
WOCKPHARMA,EQ,1613,-0.44,26208.92,12.53,203.51
SCI,EQ,327.65,-2.85,15261.9,61.28,201.92
NESTLEIND,EQ,1422.2,-0.64,274244.86,14.25,201.74
FORCEMOT,EQ,19177,-0.15,24993.22,1.04,197.47
CIPLA,EQ,1400.1,-0.69,113097.65,13.17,185.53
ANTHEM,EQ,779.5,-1,43785.59,23.04,181.97
TATAPOWER,EQ,413.6,-0.34,132159.24,43.91,181.64
INDUSTOWER,EQ,427.5,-0.74,112781.46,42.34,181.04
GAIL,EQ,155.99,-0.08,102564.98,115.39,177.64
RVNL,EQ,269.85,-0.63,56264.27,64.53,172.85
DRREDDY,EQ,1320.9,-1.07,110247.06,12.77,169.51
PGEL,EQ,462.15,-0.86,13187.11,36.76,168.17
HCLTECH,EQ,1172.2,-0.61,318095.82,14.16,166.07
NMDC,EQ,88.43,-0.66,77746.04,188.94,165.89
ATGL,EQ,609.2,-2.26,67000.43,26.26,160.19
JPPOWER,EQ,18.27,-3.03,12521.27,856.85,159.2
TDPOWERSYS,EQ,1232,-1.93,19247.34,12.01,148
TORNTPHARM,EQ,4450,-0.23,150603.95,3.31,147.23
INDIANB,EQ,809.7,-0.91,109063.67,18,146
DMART,EQ,4158.6,-1.83,271208.83,3.46,143.8
BOSCHLTD,EQ,36715,-1.12,108285.9,0.39,142.03
IGL,EQ,154.69,-1.69,21656.62,89.57,138.75
JSWSTEEL,EQ,1278.4,-0.53,312626.84,10.39,132.43
UNITDSPR,EQ,1283.6,-1.63,93362.76,9.89,127.49
MAPMYINDIA,EQ,910,-5.86,4983.26,13.31,125.67
PNBHOUSING,EQ,1059.5,-0.47,27605.23,11.76,124.65
BLACKBUCK,EQ,529.55,-0.54,9632.32,22.75,123.36
ICICIGI,EQ,1776,-2.57,88611.6,6.67,119.75
AGIIL,EQ,380.05,-0.34,4750.53,30.92,119.65
PTC,EQ,195.6,-5.57,5789.92,60.98,117.82
ICICIPRULI,EQ,509,-2.52,73827.01,22.64,115.4
LTF,EQ,275.95,-0.72,69137.9,41.51,113.81
ASTRAL,EQ,1445,-0.27,38819.95,7.69,111.84
RADICO,EQ,3566,-0.94,47759.92,3.03,109.22
TATAGOLD,EQ,15.29,-0.2,5987.76,714.71,108.92
NLCINDIA,EQ,354.95,-0.95,49218.67,30.03,106.72
SBILIFE,EQ,1861.1,-1.08,186685.47,5.64,105.44
PATANJALI,EQ,464.95,-1.31,50591.61,22.08,103
PIRAMALFIN,EQ,1920.5,-0.81,43533.45,5.19,99.72
