"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","27,500.30","2.81","2.81","29.55","4.71","1.15"
"NIFTY FINANCIAL SERVICES 25/50","30,192.30","3.20","3.20","17.75","3.05","0.92"
"NIFTY FMCG","50,806.65","0.36","0.36","36.74","9.17","2.20"
"NIFTY IT","38,611.75","1.41","1.41","27.43","7.16","2.74"
"NIFTY MEDIA","1,381.70","1.49","1.49","29.61","1.45","1.40"
"NIFTY METAL","11,893.20","2.87","2.87","21.16","3.10","1.54"
"NIFTY PHARMA","22,200.25","3.02","3.02","33.58","4.84","0.66"
"NIFTY PSU BANK","8,819.60","2.65","2.65","8.82","1.44","2.18"
"NIFTY PRIVATE BANK","28,911.85","2.50","2.50","20.25","2.28","0.54"
"NIFTY REALTY","815.30","4.79","4.79","36.70","3.94","0.37"
"NIFTY HEALTHCARE INDEX","14,227.00","3.16","3.16","36.61","5.34","0.55"
"NIFTY CONSUMER DURABLES","35,446.20","3.05","3.05","58.88","11.11","0.41"
"NIFTY OIL & GAS","11,911.25","1.91","1.91","10.76","1.64","2.70"
"NIFTY MIDSMALL HEALTHCARE","42,043.95","2.08","2.08","39.63","5.13","0.45"
"NIFTY FINANCIAL SERVICES EX-BANK","31,299.55","3.81","3.81","23.82","4.41","0.77"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,630.95","2.90","2.90","29.45","2.97","0.64"
"NIFTY MIDSMALL IT & TELECOM","10,020.60","2.42","2.42","60.49","9.80","1.08"
"NIFTY CHEMICALS","28,378.05","3.84","3.84","38.35","4.19","0.61"
"NIFTY500 HEALTHCARE","18,065.05","2.76","2.76","37.67","5.46","0.54"
