"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","26,555.40","-0.68","-0.68","28.84","4.55","1.18"
"NIFTY FINANCIAL SERVICES 25/50","30,027.80","0.49","0.49","17.67","3.03","0.93"
"NIFTY FMCG","50,523.90","-0.91","-0.91","36.90","9.12","2.21"
"NIFTY IT","38,431.25","-0.76","-0.76","27.31","7.13","2.78"
"NIFTY MEDIA","1,360.10","-0.02","-0.02","29.47","1.43","1.42"
"NIFTY METAL","12,478.05","3.07","3.07","21.76","3.25","1.47"
"NIFTY PHARMA","21,564.00","-0.81","-0.81","32.73","4.67","0.71"
"NIFTY PSU BANK","9,014.20","-0.79","-0.79","9.11","1.47","2.13"
"NIFTY PRIVATE BANK","28,734.40","1.03","1.03","20.15","2.27","0.54"
"NIFTY REALTY","776.50","0.67","0.67","35.45","3.76","0.38"
"NIFTY HEALTHCARE INDEX","13,790.65","-0.96","-0.96","35.55","5.14","0.60"
"NIFTY CONSUMER DURABLES","34,020.75","-0.44","-0.44","56.60","10.66","0.43"
"NIFTY OIL & GAS","11,854.95","0.78","0.78","10.57","1.63","2.71"
"NIFTY MIDSMALL HEALTHCARE","41,225.85","-0.51","-0.51","38.53","4.98","0.47"
"NIFTY FINANCIAL SERVICES EX-BANK","31,234.15","0.10","0.10","23.91","4.40","0.79"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,862.35","0.43","0.43","30.11","3.00","0.65"
"NIFTY MIDSMALL IT & TELECOM","9,771.65","-0.60","-0.60","58.57","9.56","1.16"
"NIFTY CHEMICALS","27,644.65","-0.88","-0.88","37.09","4.08","0.63"
"NIFTY500 HEALTHCARE","17,539.85","-0.88","-0.88","36.59","5.28","0.58"
