"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","25,917.60","-0.64","-0.64","30.73","4.44","1.23"
"NIFTY FINANCIAL SERVICES 25/50","27,958.55","-1.07","-1.07","16.44","2.85","0.99"
"NIFTY FMCG","51,072.10","-1.35","-1.35","36.33","9.00","1.62"
"NIFTY IT","29,353.90","0.37","0.37","20.15","5.44","3.66"
"NIFTY MEDIA","1,456.00","-0.52","-0.52","30.58","1.54","1.20"
"NIFTY METAL","12,833.05","-2.12","-2.12","21.83","3.36","1.59"
"NIFTY PHARMA","23,267.70","0.03","0.03","34.83","5.07","0.68"
"NIFTY PSU BANK","8,482.60","-1.68","-1.68","8.30","1.37","2.28"
"NIFTY PRIVATE BANK","26,281.75","-0.88","-0.88","17.44","2.09","0.62"
"NIFTY REALTY","793.55","-1.50","-1.50","36.87","3.80","0.37"
"NIFTY HEALTHCARE INDEX","14,918.40","-0.15","-0.15","37.89","5.60","0.57"
"NIFTY CONSUMER DURABLES","37,273.00","-1.57","-1.57","59.18","12.18","0.38"
"NIFTY OIL & GAS","11,694.65","-0.63","-0.63","9.74","1.59","2.27"
"NIFTY MIDSMALL HEALTHCARE","44,973.80","-0.12","-0.12","42.57","5.55","0.43"
"NIFTY FINANCIAL SERVICES EX-BANK","30,858.35","-0.86","-0.86","22.89","4.25","0.77"
"NIFTY MIDSMALL FINANCIAL SERVICES","21,227.40","-0.76","-0.76","29.27","3.20","0.53"
"NIFTY MIDSMALL IT & TELECOM","8,532.15","0.14","0.14","60.01","7.98","1.22"
"NIFTY CHEMICALS","28,480.50","-","-","39.82","4.20","0.60"
"NIFTY500 HEALTHCARE","19,002.85","-0.20","-0.20","39.43","5.80","0.53"
