"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","27,950.00","-0.45","-0.45","33.04","4.79","1.13"
"NIFTY FINANCIAL SERVICES 25/50","30,652.80","-0.55","-0.55","17.81","3.09","0.93"
"NIFTY FMCG","52,235.25","0.19","0.19","37.67","9.35","1.57"
"NIFTY IT","30,053.50","-4.74","-4.74","21.35","5.58","3.52"
"NIFTY MEDIA","1,410.90","-1.31","-1.31","29.61","1.48","1.28"
"NIFTY METAL","12,073.85","0.93","0.93","20.48","3.14","1.52"
"NIFTY PHARMA","22,632.05","0.24","0.24","33.87","4.93","0.69"
"NIFTY PSU BANK","9,825.05","0.29","0.29","9.75","1.61","1.95"
"NIFTY PRIVATE BANK","28,872.55","-0.47","-0.47","20.22","2.28","0.54"
"NIFTY REALTY","798.35","-2.54","-2.54","35.96","3.86","0.37"
"NIFTY HEALTHCARE INDEX","14,665.35","0.22","0.22","37.25","5.50","0.58"
"NIFTY CONSUMER DURABLES","37,460.30","-0.09","-0.09","59.61","11.74","0.39"
"NIFTY OIL & GAS","12,211.45","0.50","0.50","10.32","1.67","2.12"
"NIFTY MIDSMALL HEALTHCARE","43,151.70","0.35","0.35","40.41","5.27","0.44"
"NIFTY FINANCIAL SERVICES EX-BANK","31,843.20","-0.43","-0.43","23.90","4.48","0.79"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,745.95","0.11","0.11","28.89","2.98","0.64"
"NIFTY MIDSMALL IT & TELECOM","8,500.80","-3.82","-3.82","60.44","8.32","1.28"
"NIFTY CHEMICALS","27,748.20","-1.07","-1.07","39.15","4.09","0.62"
"NIFTY500 HEALTHCARE","18,624.55","0.12","0.12","38.44","5.63","0.54"
