"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","26,737.60","0.69","0.69","29.04","4.58","1.18"
"NIFTY FINANCIAL SERVICES 25/50","29,882.55","1.06","1.06","17.59","3.02","0.94"
"NIFTY FMCG","50,985.45","-0.71","-0.71","37.36","9.20","2.19"
"NIFTY IT","38,725.35","0.41","0.41","27.52","7.18","2.75"
"NIFTY MEDIA","1,360.40","2.13","2.13","29.48","1.43","1.42"
"NIFTY METAL","12,106.45","2.34","2.34","21.11","3.15","1.51"
"NIFTY PHARMA","21,739.85","-0.22","-0.22","32.99","4.70","0.71"
"NIFTY PSU BANK","9,085.80","1.68","1.68","9.18","1.49","2.11"
"NIFTY PRIVATE BANK","28,440.80","0.56","0.56","20.00","2.24","0.55"
"NIFTY REALTY","771.30","1.57","1.57","35.21","3.73","0.39"
"NIFTY HEALTHCARE INDEX","13,923.95","-0.20","-0.20","35.90","5.19","0.60"
"NIFTY CONSUMER DURABLES","34,170.50","0.64","0.64","56.85","10.71","0.43"
"NIFTY OIL & GAS","11,762.90","3.40","3.40","10.49","1.62","2.89"
"NIFTY MIDSMALL HEALTHCARE","41,436.50","0.20","0.20","38.73","5.00","0.47"
"NIFTY FINANCIAL SERVICES EX-BANK","31,202.30","1.98","1.98","23.88","4.39","0.79"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,773.75","1.84","1.84","29.98","2.99","0.65"
"NIFTY MIDSMALL IT & TELECOM","9,830.35","0.61","0.61","61.91","9.62","1.14"
"NIFTY CHEMICALS","27,891.35","2.29","2.29","37.41","4.11","0.62"
"NIFTY500 HEALTHCARE","17,695.30","0.03","0.03","36.92","5.32","0.57"
