"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","25,058.60","2.22","2.22","29.62","4.30","1.26"
"NIFTY FINANCIAL SERVICES 25/50","27,345.70","2.26","2.26","15.89","2.76","1.04"
"NIFTY FMCG","47,283.35","1.89","1.89","34.10","8.38","1.74"
"NIFTY IT","29,671.30","0.08","0.08","21.08","5.50","3.57"
"NIFTY MEDIA","1,311.15","1.13","1.13","27.52","1.38","1.34"
"NIFTY METAL","11,342.20","2.56","2.56","19.24","2.95","1.52"
"NIFTY PHARMA","22,679.75","1.98","1.98","33.93","4.94","0.69"
"NIFTY PSU BANK","8,581.05","2.67","2.67","8.51","1.40","2.24"
"NIFTY PRIVATE BANK","25,498.75","1.81","1.81","17.86","2.01","0.61"
"NIFTY REALTY","692.10","2.69","2.69","31.17","3.35","0.43"
"NIFTY HEALTHCARE INDEX","14,520.60","2.05","2.05","36.87","5.45","0.58"
"NIFTY CONSUMER DURABLES","34,762.10","3.51","3.51","55.31","10.89","0.42"
"NIFTY OIL & GAS","10,956.05","0.71","0.71","9.25","1.49","2.41"
"NIFTY MIDSMALL HEALTHCARE","42,516.95","2.22","2.22","39.81","5.19","0.45"
"NIFTY FINANCIAL SERVICES EX-BANK","28,926.85","2.77","2.77","21.69","4.07","0.86"
"NIFTY MIDSMALL FINANCIAL SERVICES","19,260.30","2.61","2.61","26.81","2.77","0.68"
"NIFTY MIDSMALL IT & TELECOM","8,061.35","1.33","1.33","57.31","7.89","1.35"
"NIFTY CHEMICALS","26,407.95","2.68","2.68","37.18","3.89","0.65"
"NIFTY500 HEALTHCARE","18,275.55","2.03","2.03","37.72","5.52","0.55"
