"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","27,339.95","1.93","1.93","31.77","4.60","1.19"
"NIFTY FINANCIAL SERVICES 25/50","28,917.40","0.29","0.29","16.86","2.94","0.96"
"NIFTY FMCG","51,068.45","-0.76","-0.76","36.36","9.07","1.61"
"NIFTY IT","29,043.50","-0.77","-0.77","20.07","5.43","3.67"
"NIFTY MEDIA","1,472.20","0.21","0.21","30.85","1.55","1.19"
"NIFTY METAL","13,165.40","0.27","0.27","22.76","3.44","1.55"
"NIFTY PHARMA","24,135.50","0.10","0.10","35.99","5.25","0.65"
"NIFTY PSU BANK","8,636.60","-0.49","-0.49","8.49","1.41","2.25"
"NIFTY PRIVATE BANK","26,781.85","0.30","0.30","17.54","2.12","0.61"
"NIFTY REALTY","827.50","0.63","0.63","37.16","3.94","0.35"
"NIFTY HEALTHCARE INDEX","15,391.10","0.17","0.17","39.11","5.76","0.55"
"NIFTY CONSUMER DURABLES","37,058.20","-0.85","-0.85","58.91","12.22","0.38"
"NIFTY OIL & GAS","11,708.60","-0.10","-0.10","9.74","1.59","2.26"
"NIFTY MIDSMALL HEALTHCARE","47,562.85","0.75","0.75","44.35","5.82","0.41"
"NIFTY FINANCIAL SERVICES EX-BANK","32,402.35","0.79","0.79","23.56","4.43","0.74"
"NIFTY MIDSMALL FINANCIAL SERVICES","22,291.85","1.63","1.63","29.49","3.30","0.51"
"NIFTY MIDSMALL IT & TELECOM","8,813.90","-0.17","-0.17","59.78","8.25","1.22"
"NIFTY CHEMICALS","29,577.65","0.39","0.39","47.51","4.35","0.58"
"NIFTY500 HEALTHCARE","19,772.75","0.37","0.37","40.70","6.02","0.51"
