"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"PRSMJOHNSN","Prism Johnson Limited",18812340,265676,70.80919840482693,190434,98.7864356938229,131.42,4.93,2586696750
"OSIAHYPER","Osia Hyper Retail Limited",9056976,208866,43.362615265289705,1669430,5.425189911767634,5.15,4.89,45103740
"SWSOLAR","Sterling and Wilson Renewable Energy Limited",70921408,1815309,39.06849382984004,1626524,43.60303255980953,211.8,9.19,15444555020
"EMSLIMITED","EMS Limited",10693349,379199,28.19979720437395,319265,33.49364634394625,365.5,5.74,4132016987
"KAKATCEM","Kakatiya Cement Sugar & Industries Limited",108397,4618,23.468903924221923,4747,22.83163659341431,138.08,20,14760419
"CYBERMEDIA","Cyber Media (India) Limited",141679,6460,21.929187787795534,8102,17.486197391697864,18.88,19.95,2594142
"KHAITANLTD","Khaitan (India) Limited",33507,1531,21.87497959849845,2883,11.618686187632441,132.24,20,4282529
"TRITURBINE","Triveni Turbine Limited",62274832,2998228,20.770540606683195,1584981,39.29057204591375,564.5,9.52,36147426234
"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited",457050,23183,19.71423949964954,15474,29.535369636394968,30.95,2.76,15361450
"SANGAMIND","Sangam (India) Limited",89928,6198,14.508611301577059,7126,12.618521983161834,494,7.51,43978389
"SPLIL","SPL Industries Limited",184507,14118,13.068224878264719,13235,13.940604615630011,35.5,11.32,6594280
"LAGNAM","Lagnam Spintex Limited",68490,5501,12.449332000363537,8149,8.404483045416741,74.5,7.88,5185377
"PEARLPOLY","Pearl Polymers Limited",575146,46684,12.31991517481806,30736,18.712183871480832,22.32,4.35,13182346
"VTL","Vardhman Textiles Limited",3765444,316677,11.890469010270701,385824,9.759486190594675,550,-1.36,2116932616
"NBIFIN","N. B. I. Industrial Finance Company Limited",9390,790,11.878557874762809,635,14.78481455563331,2140,1.84,21046558
"MITCON","MITCON Consultancy & Engineering Services Limited",46293,4374,10.581861820675467,10006,4.626215856095936,74.05,3.09,3464105
"MSCIADD","DSP Mutual Fund - DSP MSCI India ETF",9262,882,10.501133786848072,1225,7.558074168102276,29.38,0.62,271469
"OILCOUNTUB","Oil Country Tubular Limited",886108,90430,9.79874655468411,97714,9.068300747981088,63.5,13.68,55638721
"STEELXIND","STEEL EXCHANGE INDIA LIMITED",10782776,1151047,9.367794117966461,1920784,5.6137346176154965,9.7,8.14,103191166
"PVSL","Popular Vehicles and Services Limited",603296,66957,9.010133293507076,60399,9.988399494478447,102.5,3.26,65137869
"INNOVISION","Innovision Limited",2094224,234909,8.91504369777233,202852,10.323884204766356,322,1.71,686444742
"EMUDHRA","eMudhra Limited",589091,74101,7.9497850920696616,136081,4.328973185088293,500,-0.05,302233137
"RUDRA","Rudra Global Infra Products Limited",5418406,697415,7.769262452131315,334425,16.202123640829004,22.98,-1.29,139198850
"MOLOWVOL","Motilal Oswal Mutual Fund - Motilal Oswal S&P BSE Low Volatility ETF",94824,12287,7.717424920647839,36886,2.5706927245398052,36.02,-1.4,3456334
"NDLVENTURE","NDL Ventures Limited",205847,27602,7.457481591508093,26736,7.698988496958011,134,10.04,27182096
