"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"AQYLON","Aqylon Nexus Limited",4692869,17732,264.65536882472367,175010,26.814804550873056,43.24,4.65,194284776
"SINTERCOM","Sintercom India Limited",232094,1073,216.30382106244176,35727,6.496273852591509,81,13.46,16339417
"ARVSMART","Arvind SmartSpaces Limited",7714248,36821,209.5053264079845,55670,138.57038543926063,583,10.11,4559969135
"ASHIANA","Ashiana Housing Limited",2241229,34674,64.6366972609357,42497,52.737591990164184,307.2,-0.98,724141089
"BIL","Bhartiya International Limited",69459,1214,57.20321185917233,6040,11.498644593895499,750,1.44,58278879
"MOMOMENTUM","Motilal Oswal Mutual Fund - Motilal Oswal Nifty 200 Momentum 30 ETF",5239677,144836,36.17655800947622,224655,23.3231766655928,60.99,6.48,317419632
"INFOMEDIA","Infomedia Press Limited",600591,17195,34.92721933063883,22259,26.981939889482906,5.75,6.48,3231179
"ABGSEC","AdityaBirlaSunLifeMF-Aditya Birla Sun Life CRISIL Broad Based Gilt ETF",23022,847,27.169944925255706,741,31.068825910931174,111.9,0.9,2537945
"HDFCPVTBAN","HDFC Mutual Fund - HDFC NIFTY Private Bank ETF",4054816,166683,24.32647551568619,190521,21.28274929961881,27.46,6.72,109682772
"TNTELE","Tamilnadu Telecommunication Limited",453615,19024,23.843727824647164,19364,23.425535623220775,10.62,20,4808319
"HMAAGRO","HMA Agro Industries Limited",2857268,130716,21.858468788429946,228609,12.498479392238066,24,-5.21,68317277
"AIROLAM","Airo Lam limited",33903,1585,21.389905362776027,1364,24.84191243817549,82,-3.53,2768179
"CHOLAHLDNG","Cholamandalam Financial Holdings Limited",4499967,211701,21.25616344692474,282844,15.909706450505203,1621.9,16.13,7283871584
"PRAXIS","Praxis Home Retail Limited",354519,17470,20.29214544309775,1153193,0.3074237890552807,7.02,9.86,2485178
"JINDWORLD","Jindal Worldwide Limited",13716861,677805,20.237156441945203,881528,15.56032145883037,24.15,17.35,327695809
"SECURKLOUD","SECUREKLOUD TECHNOLOGIES LIMITED",247388,12503,19.78629129009038,50627,4.886423173119418,24.84,17.78,6070901
"ABREL","Aditya Birla Real Estate Limited",2619341,157802,16.598829868300776,263692,9.933306850491718,1263.3,6.77,3398935461
"INDSWFTLAB","Ind-Swift Laboratories Limited",4033907,255673,15.777602640873303,495058,8.148348199429057,153.85,11.19,589797542
"AEPL","Artemis Electricals and Projects Limited",318241,20389,15.607891219853112,54437,5.846015366316263,17.9,7.83,5884276
"SHRIRAMPPS","Shriram Properties Limited",4775097,323491,14.76110905455858,849931,5.618216417242044,75,9.75,365820181
"SUDEEPPHRM","Sudeep Pharma Limited",604877,41673,14.5146675945145,85148,7.103830976652417,615,2.11,378876806
"ANIKINDS","Anik Industries Limited",128771,9330,13.801082471464552,60500,2.128437485795513,43.6,11.71,5843627
"PVP","PVP Ventures Limited",4499345,332711,13.523272807877701,342895,13.121616818528961,30.4,16.61,133585553
"SADHNANIQ","Sadhana Nitrochem Limited",27477651,2255065,12.184855807419362,11498628,2.3896459217979134,1.75,6.71,48360665
"EQUAL50ADD","DSP  Mutual Fund - DSP Nifty 50 Equal Weight ETF",1034456,88978,11.625974960102496,314128,3.293103448275862,324.04,1.52,339808451
