"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"GSEC10ABSL","AdityaBirlaSunLifeMF - Aditya Birla Sun Life CRISIL 10 Year Gilt ETF",36081,137,263.3649635036496,151,238.65965123271198,110.88,-0.04,4037103
"AMBICAAGAR","Ambica Agarbathies & Aroma industries Limited",225893,3869,58.37631796568121,2735,82.56871801688044,26.33,7.03,6216575
"INDNIPPON","India Nippon Electricals Limited",795292,16442,48.36895305980951,15353,51.79889630998058,834,7.41,669452946
"NFL","National Fertilizers Limited",23932736,587940,40.70607180798319,706596,33.87042707265877,81.64,4.48,2006281258
"BHARATSE","Bharat Seats Limited",4481418,118766,37.733109251622096,236278,18.966709874612313,196.26,20,844299151
"NATCOPHARM","Natco Pharma Limited",22776662,683490,33.324060337386065,561622,40.55513250253648,878,6.57,20555254155
"RACLGEAR","RACL Geartech Limited",1024732,31896,32.12728868823677,22381,45.78449865555366,1441.6,19.99,1412101190
"PENIND","Pennar Industries Limited",9397284,302635,31.051461856132025,379566,24.757970945764374,163,-8.33,1462875200
"PRECWIRE","Precision Wires India Limited",21279255,805268,26.425033479503988,569529,37.362852158567186,300.89,15.03,6345899426
"AKUMS","Akums Drugs and Pharmaceuticals Limited",2554514,120537,21.192673489434004,108682,23.504421980669257,477,5.68,1233702536
"EASEMYTRIP","Easy Trip Planners Limited",211709988,10064820,21.0346513485725,14877778,14.22994592050755,7.93,19.97,1600527509
"GTPL","GTPL Hathway Limited",367413,20703,17.746848282857556,23267,15.790793262562367,68.9,-10.89,25891594
"SINTERCOM","Sintercom India Limited",281874,16778,16.800214566694482,14183,19.87343768026766,85.14,-0.04,24410288
"BETA","Beta Drugs Limited",109467,6706,16.323739934387117,6614,16.54875417451177,1125.5,-18.06,126438763
"SADBHAV","Sadbhav Engineering Limited",1082575,68542,15.794192224981252,93499,11.578398533779941,7.59,-2.32,8617297
"SASTASUNDR","Sastasundar Ventures Limited",158472,10540,15.03415300546448,7844,20.20061649709134,294,-0.44,46898203
"PVTBANIETF","ICICI Prudential Nifty Private Bank ETF - NIFTY PRIVATE BANK INDEX",5790407,438862,13.194122716312577,1293152,4.477745992632239,29.3,1.42,169079884
"PPAP","PPAP Automotive Limited",99581,7631,13.048166880683455,13131,7.5831844929041194,223.45,10.93,20978729
"AGARIND","Agarwal Industrial Corporation Limited",120104,10634,11.294126497526847,14641,8.202857337994152,601,-13.88,74862024
"RHIM","RHI MAGNESITA INDIA LIMITED",1600659,148070,10.810121401711617,130601,12.256066517473366,465.5,6.61,737167495
"TASTYBITE","Tasty Bite Eatables Limited",27138,2639,10.282661412549258,2048,13.2486241789455,8000,4.27,228342659
"VARDMNPOLY","Vardhman Polytex Limited",16091395,1660675,9.68967020161438,2977948,5.403516141891195,7.99,7.83,121168204
"PIXTRANS","Pix Transmissions Limited",108277,11185,9.68003504505793,14592,7.420021430618373,1472,4.04,163294709
"NITIRAJ","Nitiraj Engineers Limited",18223,1912,9.530857740585773,2623,6.944981464158265,184.99,1.06,3211985
"SRM","SRM Contractors Limited",2262179,242431,9.331197474918719,175125,12.917463410683862,425.9,8.65,987395889
