"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"SBIETFPB","SBI Mutual Fund - SBI ETF Private Bank - SBI ETF Private Bank",6815901,3579,1904.2375675172286,3900,1747.3410785867438,291.46,1.55,2014166904
"VARDMNPOLY","Vardhman Polytex Limited",17711141,339257,52.205624638917165,481407,36.79034085855468,7,15.51,122206872
"SHIVATEX","Shiva Texyarn Limited",83020,2374,34.9582426836971,2554,32.496619457689846,179.88,9.22,15249943
"PCBL","PCBL Chemical Limited",25618893,795257,32.21459510799858,815145,31.428615417215,299,11.75,7850397381
"ADFFOODS","ADF Foods Limited",1707725,56539,30.20419413033994,56037,30.474756290851396,206.73,20,350647174
"SANGAMIND","Sangam (India) Limited",419731,18666,22.486191594417708,29723,14.121377930840424,485,8.56,211502450
"AARTIIND","Aarti Industries Limited",14490359,645854,22.435938003612268,627390,23.096220856939997,426.5,14.34,6159706707
"INDOCO","Indoco Remedies Limited",649364,33932,19.136933618212627,32073,20.245863956260116,235,10.88,153269384
"GNA","GNA Axles Limited",852855,47915,17.7993321506835,56109,15.199918665070212,415.3,16.94,348288924
"BANKETF","Mirae Asset Mutual Fund - Mirae Asset Nifty Bank ETF",142742,8554,16.68651365779527,7385,19.32768744076121,609.49,2.58,87238200
"KAMATHOTEL","Kamat Hotels (I) Limited",560284,35628,15.725945885258785,45214,12.391825540761712,198.55,-8.21,113132545
"SPAL","S. P. Apparels Limited",731055,46589,15.69135502149976,44707,16.351837994574876,748,13.83,563679957
"ORBTEXP","Orbit Exports Limited",97041,6407,15.14451438381106,9407,10.314831814624059,187.77,10.39,18412559
"KANPRPLA","Kanpur Plastipack Limited",72256,4798,15.057515976660184,8793,8.217360737769322,201.57,20,14052346
"HIMATSEIDE","Himatsingka Seide Limited",4842519,333982,14.499305104004847,344780,14.045239640234447,117.9,15.17,578826296
"TIIL","Technocraft Industries (India) Limited",144577,11154,12.961509727161342,13164,10.98268015607196,2250,14.55,329389779
"SBCL","Shivalik Bimetal Controls Limited",564471,43977,12.83559587966437,57873,9.753615675703696,491,17.25,271346854
"NDRAUTO","Ndr Auto Components Limited",212530,16573,12.823870150244373,37986,5.594835529071089,741,10.9,158262589
"MIDCAPADD","DSP Mutual Fund - DSP Nifty Midcap 150 ETF",405709,32307,12.557604708868334,27405,14.803803451833227,21.9,-5.15,8885027
"DONEAR","Donear Industries Limited",373171,30011,12.43426686436866,32576,11.45517283719788,95.26,8.27,36246099
"NAVNETEDUL","Navneet Education Limited",3776876,304169,12.416997302493836,246681,15.310752852226686,162.2,16.85,601052046
"NIF100IETF","ICICI Prudential Nifty 100 ETF",1705837,139492,12.228850466630902,147690,11.550075834238173,29.1,2.25,50219841
"FABTECH","Fabtech Technologies Limited",2514766,218486,11.509946464996284,287948,8.733381195389583,153.9,-5.7,376787389
"WELSPUNLIV","Welspun Living Limited",32580325,2870358,11.35061243805216,2722892,11.965335495472395,146.94,20,4748582368
"SHIVAMILLS","Shiva Mills Limited",39083,3585,10.899279572391356,2965,13.179833839173488,55.18,4.43,2266814
