"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"EUROPRATIK","Euro Pratik Sales Limited",4572109,963598,4.744828343426058,551515,8.290085515306647,220,-5.86,1085052907
"EBANKNIFTY","Edelweiss Mutual Fund - Edelweiss Nifty Bank ETF",167301,35428,4.722281810996952,22802,7.336829964609764,60.11,-0.08,10084904
"VTL","Vardhman Textiles Limited",8725841,1916035,4.5541130977134445,1124179,7.7619669321374145,432.75,4.64,3918600676
"IVP","IVP Limited",169288,38090,4.444351099746394,22036,7.682059101139911,143.1,8.88,25454143
"ARTNIRMAN","Art Nirman Limited",3140,707,4.4400452488687785,1620,1.9371953852797827,41.9,-3.68,129964
"WALCHANNAG","Walchandnagar Industries Limited",28429991,6513992,4.364449385465989,3803293,7.4750970467993545,187.8,9.15,5504614857
"LAMBODHARA","Lambodhara Textiles Limited",150694,35737,4.216750146906567,24288,6.204463109354414,111.1,8.17,17477490
"GREENPANEL","Greenpanel Industries Limited",1552700,381499,4.0699954285618425,246118,6.308741957136148,219.7,0.31,360956169
"TTML","Tata Teleservices (Maharashtra) Limited",30824611,7592932,4.059644910857107,5328546,5.784806607205173,44.85,5.36,1422864043
"BBL","Bharat Bijlee Limited",241262,60932,3.959502661966376,41525,5.810042143287176,2800,12.24,665854168
"AUROPHARMA","Aurobindo Pharma Limited",8127226,2097434,3.87484082937882,1394343,5.828709832631677,1198.9,4.2,9754134100
"ABINFRA","A B Infrabuild Limited",4473143,1157065,3.8659392514681543,683142,6.547895379306882,19.45,4.96,86868437
"TWCGOLDETF","The Wealth Company Mutual Fund - The Wealth Company Gold ETF",412752,108658,3.798627255006985,61201,6.744104349701561,159.9,-8.31,67720220
"SYRMA","Syrma SGS Technology Limited",12131593,3248992,3.7339557170989823,2028354,5.981001744911775,755,4.27,9329922912
"KRIDHANINF","Kridhan Infra Limited",670683,180437,3.7169761546638234,143045,4.688608915223999,4.2,9.38,2595543
"RAYMONDLSL","Raymond Lifestyle Limited",2972490,807960,3.6790054757647717,444866,6.6817528302853795,1040.1,12.88,3090824826
"PGHH","Procter & Gamble Hygiene and Health Care Limited",43830,11928,3.6745472837022133,7731,5.6687230822954255,11789,0.3,517571814
"SIGNATURE","Signatureglobal (India) Limited",5421132,1491905,3.633697368974919,909007,5.963791721873393,900,7.54,4933501176
"TRF","TRF Limited",110711,30943,3.5778550514810914,22353,4.952736707898092,292,7.47,33311832
"STAR","Strides Pharma Science Limited",5155438,1453907,3.5459190867313835,919989,5.603803349409248,876.1,8.19,4465227960
"RHIM","RHI MAGNESITA INDIA LIMITED",1914327,542302,3.5300004314937317,341321,5.608582536673689,440,6.8,844811648
"NBIFIN","N. B. I. Industrial Finance Company Limited",1387,393,3.5292620865139948,228,6.078001752848379,2020,-3.76,2769214
"MTARTECH","Mtar Technologies Limited",3531477,1002578,3.5223962624354415,760640,4.642769951255528,2924.7,6.66,10382824898
"ECOSMOBLTY","Ecos (India) Mobility & Hospitality Limited",2781173,808461,3.4400796673386425,534936,5.199070319735086,195,10.49,542134052
"BRNL","Bharat Road Network Limited",474590,138508,3.4264298390136063,106030,4.4759846949409745,21.85,11.99,10398266
