"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"RACLGEAR","RACL Geartech Limited",1929589,14096,136.88329100634195,17014,113.41109667139041,1112,15.98,1943964438
"APEX","Apex Frozen Foods Limited",7599701,375411,20.24366068798124,463206,16.40671372828214,290.25,10.3,2254983280
"GOCOLORS","Go Fashion (India) Limited",2107565,105096,20.053598308603704,130714,16.123442213682253,411.25,8.48,850339250
"IFBIND","IFB Industries Limited",851135,43458,19.584961319508682,32198,26.433676110286758,1105,-18.22,982422573
"SBFC","SBFC Finance Limited",34059915,1782615,19.106705438154425,1915125,17.78469448413176,90,-11.64,3062326957
"OAL","Oriental Aromatics Limited",212479,11122,19.103700640149608,9927,21.40223388658213,264.05,2.84,60904980
"JSWENERGY","JSW Energy Limited",24092304,1384176,17.405513140447542,1579098,15.25699831415772,442,-7.46,10578207917
"AEGISVOPAK","Aegis Vopak Terminals Limited",8802716,532023,16.545724663342003,535840,16.427861018387308,218.93,8.8,1935277112
"ABGSEC","AdityaBirlaSunLifeMF-Aditya Birla Sun Life CRISIL Broad Based Gilt ETF",8021,497,16.138832997987926,368,21.796195652173914,111.3,0.27,892496
"DYCL","Dynamic Cables Limited",2185908,138518,15.780609968625152,119685,18.263757809816465,297.45,6.1,652537256
"THEINVEST","The Investment Trust Of India Limited",189884,12753,14.889359366423587,9536,19.911868198448023,99.6,-8.22,18992197
"KARURVYSYA","Karur Vysya Bank Limited",55630641,3757188,14.80645658401975,3037605,18.313978565499454,291.5,9.79,16193523288
"VLEGOV","VL E-Governance & IT Solutions Limited",2883491,234784,12.281431576006263,245669,11.73725853437472,14.7,-4.92,41003242
"HOMEFIRST","Home First Finance Company India Limited",7833187,783130,10.002399343762242,521047,15.033548469918694,1237.5,11.21,9601998956
"SEMAC","Semac Construction Limited",17667,1785,9.893045133833576,3982,4.435972547706729,256,-1.16,4713378
"ONESOURCE","Onesource Specialty Pharma Limited",2944215,298853,9.85169002368382,205701,14.313018786085797,1160.4,-18.99,3545247050
"RAYMONDLSL","Raymond Lifestyle Limited",801482,81748,9.804229063250013,77693,10.315924506931067,947,3.97,749618099
"EIHOTEL","EIH Limited",1661309,171479,9.688107945453442,232657,7.140589823650828,314,-2.61,513294641
"KAMDHENU","Kamdhenu Limited",9292661,959758,9.682289900814641,890964,10.429892433640557,23.4,11.01,211129257
"WEWORK","WeWork India Management Limited",923178,100032,9.228826775431862,108666,8.495546500748981,590,1.77,531990554
"KAUSHALYA","Kaushalya Infrastructure Development Corporation Limited",1670,189,8.826638477801268,280,5.957193816884661,814.25,-4.04,1399877
"RAYMOND","Raymond Limited",3175689,365585,8.686576447991142,294190,10.794687106971685,388,4.95,1252364714
"WESTLIFE","WESTLIFE FOODWORLD LIMITED",564786,66207,8.530557007222757,104512,5.4040129235146095,479.7,-2.34,281150470
"BASF","BASF India Limited",86952,10835,8.024955699940934,13364,6.5062188227469235,3565,-1.99,309257830
"DOLPHIN","Dolphin Offshore Enterprises (India) Limited",107254,13373,8.020189934943543,15361,6.982025706494615,427,7.43,47205703
