"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"GUJALKALI","Gujarat Alkalies and Chemicals Limited",48016822,43005,1116.5317945061079,40106,1197.234274238334,491,13.63,23246864203
"PANSARI","Pansari Developers Limited",78647,620,126.7682140554481,603,130.33014177867796,270.15,-1.03,22227215
"GRINFRA","G R Infraprojects Limited",842961,20784,40.5571940628834,21317,39.54272372545257,880,-4.87,781458565
"MOTOUR","Motilal Oswal Mutual Fund - Motilal Oswal Nifty India Tourism ETF",1039511,32966,31.532502856449508,37799,27.501018545464166,71.49,-0.43,72266804
"VALIANTORG","Valiant Organics Limited",2604835,116091,22.437775375458152,83839,31.06935557500111,262.31,10.6,678038550
"ORIENTCER","ORIENT CERATECH LIMITED",1396382,62403,22.37684085701008,53342,26.177596294282758,38.99,2.09,54389078
"BANKBETA","UTI Nifty Bank ETF",9623978,605772,15.887129150901659,798701,12.049524222314822,55.28,-3.07,531532304
"PAR","Par Drugs and Chemicals Limited",109471,7698,14.219783074624926,6308,17.35431198478123,87,-2.72,9733066
"DBSTOCKBRO","DB (International) Stock Brokers Limited",54436,4422,12.30887507066139,3941,13.810189349385364,25.01,-3.32,1393561
"BANKNIFTY1","Kotak Nifty Bank ETF",9248498,757944,12.20207275419561,1312604,7.045912945745417,55.52,-2.82,512274304
"ACEINTEG","Ace Integrated Solutions Limited",54380,4461,12.188270451998505,5523,9.844801764289594,15.85,-5.26,884218
"MOSERVICE","Motilal Oswal Mutual Fund - Motilal Oswal Nifty Services Sector ETF",25594,2743,9.327826034137155,4937,5.1837381009371954,31.12,1.37,760909
"KECL","Kirloskar Electric Company Limited",2177715,238875,9.116546310832025,222627,9.781879797558252,82.5,-0.84,189417650
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited",2609909,305792,8.534901935135753,169210,15.424016207869908,667,12.47,1725463038
"RAJTV","Raj Television Network Limited",21561,2616,8.241447410333185,3512,6.1379658385093165,37.5,-4.56,788270
"JPPOWER","Jaiprakash Power Ventures Limited",732335818,89840232,8.151535219575363,61829537,11.844432998246457,16.68,11.2,12010307415
"MODIS","Modis Navnirman Limited",64900,8681,7.4758101674090005,6827,9.506118590127699,307.2,-1.03,20270217
"HDFCLIQUID","HDFC Nifty 1D Rate Liquid ETF - Growth",268479,37251,7.207296448417492,45659,5.879983992290815,1052.54,0,282574147
"NIPPOBATRY","Indo-National Limited",47159,7086,6.6546095954844775,6372,7.4001283880171185,299,5.36,14382080
"AARNAV","Aarnav Fashions Limited",624485,94579,6.6027870880428,63920,9.769734783622804,25.94,3.68,16523873
"SUNTV","Sun TV Network Limited",1182829,183615,6.441891601183998,188861,6.262930443166508,597.95,-0.07,711589926
"SHREYANIND","Shreyans Industries Limited",59363,9610,6.17710410849621,7384,8.038815708482089,151.35,8.01,9226791
"PILANIINVS","Pilani Investment and Industries Corporation Limited",31415,5119,6.136141675890357,4194,7.489813169188088,4850,1.34,152880155
"DELTAMAGNT","Delta Manufacturing Limited",22722,3704,6.134449244060475,6432,3.5323496989739676,52.82,-4.16,1256981
"HDFCVALUE","HDFC Mutual Fund - HDFC NIFTY50 Value 20 ETF",86874,14407,6.029845911804173,11260,7.715275310834813,124.86,-2.76,10928749
