"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"ASAHIINDIA","Asahi India Glass Limited",11209621,1901544,5.895007988242541,1095670,10.230830897506774,857.2,2.06,10110181372
"JBMA","JBM Auto Limited",44287182,7644540,5.793308949917196,4295248,10.310737689330505,590.6,19.99,24953612697
"HECPROJECT","HEC Infra Projects Limited",419913,73551,5.709101785823538,58333,7.198527268901997,109.4,0.81,52720077
"MMTC","MMTC Limited",125707075,22034542,5.705000498686706,12610134,9.968733698627775,63.79,20,7729728041
"STCINDIA","The State Trading Corporation of India Limited",2612995,472991,5.52440549453531,274798,9.508784634531548,114,13.3,301931572
"ROUTE","ROUTE MOBILE LIMITED",9671786,1771915,5.458379826498466,1047265,9.235273253538825,478.6,7.44,4751361590
"URBANCO","Urban Company Limited",139325070,28087017,4.960479397767781,16947401,8.221028522930158,121.66,10.49,17412847248
"OLECTRA","Olectra Greentech Limited",8794545,1774138,4.957078702604231,1180255,7.451392830533489,1033.15,14.34,8994181171
"TRIDENT","Trident Limited",136789162,27742561,4.930660825180948,17567507,7.786486554123081,24.4,10.61,3339023444
"AARNAV","Aarnav Fashions Limited",462786,94579,4.89311580794891,63920,7.240040163612677,26.44,7.79,11625184
"CALSOFT","California Software Company Limited",217246,45148,4.811845442229105,80711,2.6916499027958305,13.59,8.37,2841577
"PIONEEREMB","Pioneer Embroideries Limited",551595,115907,4.75893098509729,82797,6.661987480936482,25.83,7.98,13585784
"HEXATRADEX","Hexa Tradex Limited",40999,8889,4.612329845876927,6423,6.382612264538134,163.7,2.28,6644297
"INNOVANA","Innovana Thinklabs Limited",55952,12520,4.468771630903572,9226,6.064241516572735,375,-2.48,21022285
"SHIVAUM","Shiv Aum Steels Limited",576,132,4.350453172205438,80,7.130674002751031,307.95,9.98,176808
"UGROCAP","Ugro Capital Limited",14228670,3288882,4.326293420652426,2032671,6.99998483858256,96.1,10.6,1395974813
"TIRUMALCHM","Thirumalai Chemicals Limited",5616163,1364492,4.115936920113859,931005,6.032360797667117,181.86,10.65,1056063290
"AMNPLST","Amines & Plasticizers Limited",84001,20617,4.074356113886599,15170,5.537111388096551,150,0.17,12627030
"SINDHUTRAD","Sindhu Trade Links Limited",8689434,2153463,4.035097574225207,1467091,5.9228997540773785,24.8,4.82,216714483
"NDGL","Naga Dhunseri Group Limited",1361,339,4.008836524300442,255,5.337254901960784,2582,13.46,3559573
"AARTECH","Aartech Solonics Limited",225285,57453,3.9211937839225572,40731,5.530921703109691,47.7,13.98,10286513
"ANTGRAPHIC","Antarctica Limited",1215371,320509,3.7920027206724303,285007,4.264348109555029,0.8,-2.44,972296
"SURYALAXMI","Suryalakshmi Cotton Mills Limited",41027,10826,3.789439655172414,7849,5.226672071341711,55.5,8.82,2224894
"INTELLECT","Intellect Design Arena Limited",2781252,747650,3.719991974854544,577874,4.81289930812287,670,4.26,1900151366
"SADBHIN","Sadbhav Infrastructure Project Limited",1812160,487996,3.7134717929819803,409849,4.421523991281947,2.84,-4.7,5146534
