"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"MAYURUNIQ","Mayur Uniquoters Ltd",5623025,108357,51.89311032735674,154938,36.29194842532968,712,14.95,3818877428
"UNIENTER","Uniphos Enterprises Limited",185281,3616,51.232130512926865,3455,53.615631494488724,108.8,3.8,21049774
"GLOTTIS","Glottis Limited",7528849,177390,42.4423530074976,203871,36.92947501115902,70.65,17.2,528073468
"PRINCEPIPE","Prince Pipes And Fittings Limited",12008964,370575,32.406254595892065,265210,45.28091569193981,265,-1.54,3384726503
"AARNAV","Aarnav Fashions Limited",411052,13997,29.36645075252429,53292,7.713163259213769,22.85,3.91,9618616
"GPIL","Godawari Power And Ispat limited",57813833,1995646,28.969984155506538,1966558,29.39848591031678,303,4.28,17892225036
"PCBL","PCBL Chemical Limited",20683867,750817,27.548473740722052,946749,21.847250990254594,292.95,7.09,6092639863
"CARYSIL","CARYSIL LIMITED",1278354,46526,27.475628759031526,61461,20.799279962607756,1053.7,14.58,1286369279
"SINDHUTRAD","Sindhu Trade Links Limited",43813628,1825008,24.007355582179482,1460892,29.991005372494953,26.61,18.16,1131267874
"BOROSCI","Borosil Scientific Limited",1816881,77527,23.435360432019674,78091,23.266039741236103,143.25,19.99,251565343
"ERIS","Eris Lifesciences Limited",1604732,69735,23.011694187322096,64265,24.970508518692462,1489.2,11.45,2318853787
"MAGNUM","Magnum Ventures Limited",421554,18378,22.937969311132875,42420,9.937538574955424,20.69,4.97,8388924
"BLS","BLS International Services Limited",29300266,1294550,22.633550058121862,1177757,24.878011703751653,267.9,2.25,8163347110
"VIYASH","Viyash Scientific Limited",23244388,1033902,22.48218932349187,1315265,17.672778028293777,252,10.17,5936151807
"DREDGECORP","Dredging Corporation of India Limited",8954182,437141,20.483494277975698,290608,30.811862016065987,1082,7.69,9919621903
"GANESHBE","Ganesh Benzoplast Limited",2623849,145470,18.036942113252945,184067,14.254837164277882,101.5,6.77,264588933
"AHLEAST","Asian Hotels (East) Limited",47660,2698,17.660573122529645,3072,15.513863817950464,171.3,7,8065025
"RKSWAMY","R K Swamy Limited",511075,29130,17.544627531754205,44987,11.36045823153666,97.4,5.67,50897959
"UFBL","United Foodbrands Limited",4291214,261766,16.39327900165542,178175,24.084253180987446,400.8,20,1661901357
"ASIANENE","Asian Energy Services Limited",7224730,441990,16.34588198473196,330355,21.869594829804303,351,9.69,2607405057
"LEMERITE","Le Merite Exports Limited",1018160,72306,14.081168359691038,86310,11.796485204046702,427,-4.77,393437387
"ORKLAINDIA","Orkla India Limited",423632,31480,13.4571791613723,36513,11.601935003597633,630.55,1.02,270366178
"SMLT","Sarthak Metals Limited",74794,5630,13.282936214296285,6881,10.868635895268039,75.01,7.08,5572900
"BANKBETA","UTI Nifty Bank ETF",5256230,398345,13.195164495113325,861470,6.1014635231476335,55.27,0.14,287936279
"DCAL","Dishman Carbogen Amcis Limited",8718006,672357,12.966334848897237,483597,18.02738902498996,211.6,12.39,1838365925
